address,chain,name,category,tier,source,added_date,evidence,risk_flags,merge_policy,balance_policy,source_snapshot_at,verified_at,status,raw_labels
0x0031130c56162e00a7e9c01ee4147b11cbac8776,eth,CurveStEth Bridge,bridge,exclude,dune-labels,2026-07-16,Dune labels.addresses model=aztec_v2_contracts_ethereum,,,,2026-07-16,,,
0x011b6e24ffb0b5f5fcc564cf4183c5bbbc96d515,eth,Arbitrum: Old Bridge,bridge,exclude,dawsbot+brianleect,,,,,,2026-07-16,,,
0x011ef1fe26d20077a59f38e9ad155b166ad87d40,eth,Chainlink: Transporter WETH Pool,bridge,exclude,dawsbot,,,,,,2026-07-16,,,
0x014f808b7d4b6f58be5fef88002d5028cd0ed14b,eth,Lition: Token Bridge,bridge,exclude,spellbook-bridges+dawsbot+brianleect+dune-labels,2022-09-22,Dune labels.addresses model=bridges_ethereum,,,,2026-07-16,,,
0x0188b70b78071062c7166f77495e822ea4b86fa0,eth,SkyBridge: L1 NFT Bridge,bridge,exclude,dawsbot,,,,,,2026-07-16,,,
0x01c3a1a6890a146ac187a019f9863b3ab2bff91e,eth,zkSync: L2 Operator V1,bridge,exclude,dawsbot+brianleect,,,,,,2026-07-16,,,
0x01d5dc56ad4206bb0c132d834644d57f51fed5ec,eth,Polygon (Matic): Validator Share,bridge,exclude,dawsbot+brianleect,,,,,,2026-07-16,,,
0x01f645dcd6c796f6bc6c982159b32faaaebdc96a,eth,Polygon (Matic): Slashing Manager,bridge,exclude,dawsbot+brianleect,,,,,,2026-07-16,,,
0x021c2bf4d2941ce3d593e07317ec355937bae495,eth,Polygon (Matic): RLP Encode,bridge,exclude,dawsbot+brianleect,,,,,,2026-07-16,,,
0x02fbb64517e1c6ed69a6faa3abf37db0482f1152,eth,Across Protocol: WBTC Bridge Pool,bridge,exclude,spellbook-bridges+dawsbot+brianleect+dune-labels,2022-09-22,Dune labels.addresses model=bridges_ethereum,,,,2026-07-16,,,
0x0305c18771cd11b36dcfa610bcc8837f814746f1,eth,Polygon (Matic): HEZ to MATIC,bridge,exclude,dawsbot+brianleect,,,,,,2026-07-16,,,
0x042065416c5c665dc196076745326af3cd840d15,eth,Optimism: Fraud Verifier,bridge,exclude,dawsbot+brianleect,,,,,,2026-07-16,,,
0x045e507925d2e05d114534d0810a1abd94aca8d6,eth,Optimism: Synthetix Legacy L2 Bridge,bridge,exclude,spellbook-bridges+dawsbot+brianleect+dune-labels,2022-10-12,Dune labels.addresses model=bridges_ethereum,,,,2026-07-16,,,
0x048cc108763de75e080ad717bd284003aa49ea15,eth,Arbitrum: Inbox 2,bridge,exclude,dawsbot+brianleect,,,,,,2026-07-16,,,
0x051f1d88f0af5763fb888ec4378b4d8b29ea3319,eth,Linea: Lido Bridge,bridge,exclude,spellbook-bridges+dune-labels,2023-12-10,Dune labels.addresses model=bridges_ethereum,,,,2026-07-16,,,
0x054a47b9e2a22af6c0ce55020238c8fecd7d334b,eth,Scroll: Batch Committer,bridge,exclude,dawsbot,,,,,,2026-07-16,,,
0x059956483753947536204e89bfad909e1a434cc6,eth,MLTToken (ML),bridge,exclude,tokens+brianleect,,,,,,2026-07-16,,,
0x05b70fb5477a93be33822bfb31fdaf2c171970df,eth,Mayan: Swap Bridge,bridge,exclude,dawsbot+brianleect,,,,,,2026-07-16,,,
0x06d538690af257da524f25d0cd52fd85b1c2173e,eth,Stargate Finance : Factory,bridge,exclude,dawsbot,,,,,,2026-07-16,,,
0x070cb1270a4b2ba53c81cef89d0fd584ed4f430b,eth,OMG Network V1: ERC-20 Vault,bridge,exclude,dawsbot+brianleect,,,,,,2026-07-16,,,
0x076cf2113b6eed19883a92454c473998fc8479e5,eth,ImmutableX: Memory Fact Registry,bridge,exclude,dawsbot+brianleect,,,,,,2026-07-16,,,
0x0a47cec6657570831ae93db36367656e5597c310,eth,Scroll: Deployer,bridge,exclude,dawsbot,,,,,,2026-07-16,,,
0x0abcfbfa8e3fda8b7fba18721caf7d5cf55cf5f5,eth,Multichain: anyLTC Token,bridge,exclude,dawsbot+tokens+brianleect,,,,,,2026-07-16,,,
