address,chain,name,category,tier,source,added_date,evidence,risk_flags,merge_policy,balance_policy,source_snapshot_at,verified_at,status,raw_labels
DEbrdGj3HsRsAzx6uH4MKyREKxVAfBydijLUF3ygsFfh,sol,deBridge DLN 程序,bridge,exclude,solprog,2026-07-16,RPC executable 核验+vanity/官方文档,,,,2026-07-16,,,
HNCne2FkVaNghhjKXapxJzPaBvAKDG1Ge3gqhZyfVWLM,sol,Base-Solana 官方桥 Bridge 程序,bridge,exclude,manual-addressbook,2026-07,address-book 实战核验,,,,,2026-07,,
g1et5VenhfJHJwsdJsDbxWZuotD5H4iELNG61kS4fb9,sol,Base-Solana 官方桥 Base Relayer 程序,bridge,exclude,manual-addressbook,2026-07,address-book 实战核验,,,,,2026-07,,
worm2ZoG2kUd4vFXhvjh93UUH596ayRfgQ2MgjNMTth,sol,Wormhole Core Bridge,bridge,exclude,solprog,2026-07-16,RPC executable 核验+vanity/官方文档,,,,2026-07-16,,,
wormDTUJ6AWPNvk59vGQbDvGJmqbDTdgWgAqcLBCgUb,sol,Wormhole Portal Token Bridge,bridge,exclude,solprog,2026-07-16,RPC executable 核验+vanity/官方文档,,,,2026-07-16,,,
1nc1nerator11111111111111111111111111111111,sol,Incinerator 销毁地址,burn,exclude,manual-addressbook,2026-07,协议常识,,,,,2026-07,,
12T1tgaYZzEkFpnPvyqttmPRJxbGbR4uDx49cvZR5SRF,sol,Bitfinex: Bitfinex 1,cex,exclude,spellbook-cex-solana,2024-04-19,,,,,2026-07-16,,,
1347e3PfJKKcJL4XJhFeZ5UmZYRnk26Vs9aGjZ8RZLPk,sol,LAToken: LAToken 1,cex,exclude,spellbook-cex-solana,2024-04-19,,,,,2026-07-16,,,
13AE11jLvxcxsjqaSoWFXCTGUfbjXb1gmZTY8x3TXJzW,sol,Bitfinex: Bitfinex 2,cex,exclude,spellbook-cex-solana,2024-04-19,,,,,2026-07-16,,,
13VagdYbCRMSBSbmz4UivPpS9SwmTTRiPtMkjoEHRm8v,sol,Binance: Binance 6,cex,exclude,spellbook-cex-solana,2024-04-19,,,,,2026-07-16,,,
14B3z6xL9vGgKz8WptoZabPrgH6adH1ev2Ven4SiTcdz,sol,OKX: OKX 2,cex,exclude,spellbook-cex-solana,2024-04-19,,,,,2026-07-16,,,
15Fg7p6pzLo6uinCFdsx3HTWdAx4vFt8nnw2E3JWHHwh,sol,Swissborg: Swissborg 6,cex,exclude,spellbook-cex-solana,2024-04-19,,,,,2026-07-16,,,
15abPBmJrMY7QJeCEQJQbQ9a62A7ndfTo8KC7Wn4dzt9,sol,OKX: OKX 13,cex,exclude,spellbook-cex-solana,2024-04-19,,,,,2026-07-16,,,
15mENJiKxtbxE2PNcB8qTaatYKjFTN4kitEzZ5eiHFGW,sol,Swissborg: Swissborg 7,cex,exclude,spellbook-cex-solana,2024-04-19,,,,,2026-07-16,,,
16ZL8yLyXv3V3L3z9ofR1ovFLziyXaN1DPq4yffMAZ9c,sol,Binance: Binance 13,cex,exclude,spellbook-cex-solana,2024-04-19,,,,,2026-07-16,,,
16hp43x8DUZtU8L3cJy9Z8JMwTzuu8ZZRWqDZnpMhp46,sol,OKX: OKX 24,cex,exclude,spellbook-cex-solana,2024-04-19,,,,,2026-07-16,,,
1743nDTMZisPgBCYSAgkUn1kVG7MePc9rvMEjoRNf4ip,sol,Binance: Binance 14,cex,exclude,spellbook-cex-solana,2024-04-19,,,,,2026-07-16,,,
1Dkx7zjy4pRMwLQwWkbhb9Jxy7EXLfkdHVRXufwvdLV7,sol,OKX: OKX 27,cex,exclude,spellbook-cex-solana,2024-04-19,,,,,2026-07-16,,,
1P6bgxZi42kYYV545c3RSp7NJLUgASDpMP1ifXJazVR1,sol,Binance: Binance 15,cex,exclude,spellbook-cex-solana,2024-04-19,,,,,2026-07-16,,,
1P7cDFGeWm6ezez6XGXTAjvm8qcsGiMXe7,sol,Coinsquare: Coinsquare 1,cex,exclude,spellbook-cex-solana,2024-04-19,,,,,2026-07-16,,,
1UJSCYLh44UYhkm1WwXAwT2W8nirTD74VzPsdhfsstY8,sol,Bitfinex: Bitfinex 3,cex,exclude,spellbook-cex-solana,2024-04-19,,,,,2026-07-16,,,
1qnJN7FViy3HZaxZK9tGAA71zxHSBeUweirKqCaox4t8,sol,Binance: Binance 16,cex,exclude,spellbook-cex-solana,2024-04-19,,,,,2026-07-16,,,
1xXbYy1V5Sc3EQZ76wmcWy4gXTSyLbzgdDNJtGT6jEcL,sol,Swissborg: Swissborg 8,cex,exclude,spellbook-cex-solana,2024-04-19,,,,,2026-07-16,,,
1xpD24SQ9UgeFPQ2P9eRc7dppjgU9hiHDULqvWNfH3g3,sol,OKX: OKX 28,cex,exclude,spellbook-cex-solana,2024-04-19,,,,,2026-07-16,,,
28nYGHJyUVcVdxZtzKByBXEj127XnrUkrE3VaGuWj1ZU,sol,Ceffu: Ceffu 1,cex,exclude,spellbook-cex-solana,2025-07-07,,,,,2026-07-16,,,
2AQdpHJ2JpcEgPiATUXjQxA8QmafFegfQwSLWSprPicm,sol,Coinbase: Coinbase 2,cex,exclude,spellbook-cex-solana,2024-04-19,,,,,2026-07-16,,,
2E1UKoiiZPwsp4vn6tUh5k61kG2UqYpT7oBrFaJUJXXd,sol,Swissborg: Swissborg 5,cex,exclude,spellbook-cex-solana,2024-04-19,,,,,2026-07-16,,,
2XxP4kS2vfkiMvpLpGNxry3fPUYimsuAmSbqL1KnuwZ8,sol,Swissborg: Swissborg 3,cex,exclude,spellbook-cex-solana,2024-04-19,,,,,2026-07-16,,,
2gp4phmq6mcz995xc6m8n6fn8nygjfg8p63ncy4gsp3x,sol,OKX: OKX 29,cex,exclude,spellbook-cex-solana,2024-04-19,,,,,2026-07-16,,,
2ojv9BAiHUrvsm9gxDe7fJSzbNZSJcxZvf8dqmWGHG8S,sol,Binance: Binance 4,cex,exclude,spellbook-cex-solana,2024-04-19,,,,,2026-07-16,,,
2vzgquwagv84t9xcjekauja5cz4wsat2uc2fe4mqfdza,sol,CoinDCX: CoinDCX 1,cex,exclude,spellbook-cex-solana,2024-04-19,,,,,2026-07-16,,,
3Nvb6UeEMVLf9DsehhqT8B5SNHrNLEpHdf42nXi9aLK8,sol,CoinDCX: CoinDCX 2,cex,exclude,spellbook-cex-solana,2024-04-19,,,,,2026-07-16,,,
3gd3dqgtJ4jWfBfLYTX67DALFetjc5iS72sCgRhCkW2u,sol,Binance 冷钱包2,cex,exclude,spellbook-cex-solana+manual-addressbook,2024-04-19,address-book 实战核验,,,,2026-07-16,,,
3yFwqXBfZY4jBVUafQ1YEXw189y2dN3V5KQq9uzBDy1E,sol,Binance: Binance 19,cex,exclude,spellbook-cex-solana,2024-04-19,,,,,2026-07-16,,,
42brAgAVNzMBP7aaktPvAmBSPEkehnFQejiZc53EpJFd,sol,Bybit: Bybit 1,cex,exclude,spellbook-cex-solana,2024-04-19,,,,,2026-07-16,,,
43DbAvKxhXh1oSxkJSqGosNw3HpBnmsWiak6tB5wpecN,sol,Backpack: Backpack 9,cex,exclude,spellbook-cex-solana,2024-04-19,,,,,2026-07-16,,,
44DwSkZbY2PVo9wfFP21D7HG7xf5rw8QaF6xSLGSfm7P,sol,OKX: OKX 30,cex,exclude,spellbook-cex-solana,2024-04-19,,,,,2026-07-16,,,
4DgunMfBb19GaMZ1Z48oqcymZ4eBA4v5SUdRnapzj66G,sol,Coinsquare: Coinsquare 2,cex,exclude,spellbook-cex-solana,2024-04-19,,,,,2026-07-16,,,
4E73T5Zubx3kPtheJ5DB6QMEaadMQowhUcdRV6f9rvVt,sol,CoinDCX: CoinDCX 3,cex,exclude,spellbook-cex-solana,2024-04-19,,,,,2026-07-16,,,
51AASorYCLPcUHnuQQaau6DfsfFRixzh4HsoQwsc5Ara,sol,LAToken: LAToken 2,cex,exclude,spellbook-cex-solana,2024-04-19,,,,,2026-07-16,,,
57vSaRTqN9iXaemgh4AoDsZ63mcaoshfMK8NP3Z5QNbs,sol,KuCoin: KuCoin 1,cex,exclude,spellbook-cex-solana,2024-04-19,,,,,2026-07-16,,,
5LT2BQ7FFYBXW2PEDVB6KBX2F3C77WXBJ2FPVERBXXBU,sol,KuCoin: KuCoin 4,cex,exclude,spellbook-cex-solana,2024-04-19,,,,,2026-07-16,,,
5LZkATrLwHYCQj2YuVbjjgsDZzBk6YfL4pFQRJmtboT2,sol,Bybit（PoR 审计收录）,cex,exclude,manual-addressbook,2026-07,address-book 实战核验,,,,,2026-07,,
5SDrsMNTYdhmApjfqYHDvjoW92f2S42vcc7zNDVcQ9Ej,sol,Ceffu: Ceffu 2,cex,exclude,spellbook-cex-solana,2025-07-07,,,,,2026-07-16,,,
5URmUviWsAtcciFXqgM7f1jmhvBULdQDT47dqDkrJUi,sol,OKX: OKX 31,cex,exclude,spellbook-cex-solana,2024-04-19,,,,,2026-07-16,,,
5VCwKtCXgCJ6kit5FybXjvriW3xELsFDhYrPSqtJNmcD,sol,OKX: OKX 33,cex,exclude,spellbook-cex-solana,2024-04-19,,,,,2026-07-16,,,
5bJcc9eb2XE7mqcET2xDuAdMGuXWybb4YPmAHLjKLhQG,sol,HTX: HTX 1,cex,exclude,spellbook-cex-solana,2024-04-19,,,,,2026-07-16,,,
