address,chain,name,category,tier,source,added_date,evidence,risk_flags,merge_policy,balance_policy,source_snapshot_at,verified_at,status,raw_labels
0x00000000000007736e2f9aa5630b8c812e1f3fc9,base,ChainEye,bridge,exclude,spellbook-bridges+dune-labels,2023-11-15,Dune labels.addresses model=bridges_base,,,,2026-07-16,,,bridges_base
0x09aea4b2242abc8bb4bb78d537a67a245a7bec64,base,Across 桥 SpokePool（relayer fill 出币方）,bridge,exclude,spellbook-bridges+curation+registry-official+dune-labels,2023-11-15,across-protocol/contracts broadcast/deployed-addresses.json 权威表+docs 双源 2026-07-17；getCode 合约码len=1362 2026-07-17,,,,2026-07-16,2026-07-17,,bridges_base
0x0ec4e45f9ce3020024c0418a74cd31fbc487038f,base,Relay 桥 solver 热钱包 #16（供gas/代发/交付，假共同金主头号源）,bridge,exclude,registry-official,2026-07-17,api.relay.link/chains solverAddresses 字段官方 API 亲验 2026-07-17；getCode EOA亲验 2026-07-17,,,,,2026-07-17,,
0x0f7ae28de1c8532170ad4ee566b5801485c13a0e,base,Across MulticallHandler（fill 后中转交付用户，假金主源）,bridge,exclude,registry-official,2026-07-17,across-protocol/contracts broadcast/deployed-addresses.json 权威表+docs 双源 2026-07-17；getCode 合约码len=7518 2026-07-17,,,,,2026-07-17,,
0x10d8b8daa26d307489803e10477de69c0492b610,base,Across SpokePoolPeriphery,bridge,exclude,registry-official,2026-07-17,across-protocol/contracts broadcast/deployed-addresses.json 权威表+docs 双源 2026-07-17；getCode 合约码len=30694 2026-07-17,,,,,2026-07-17,,
0x1231deb6f5749ef6ce6943a275a1d3e7486f4eae,base,LI.FI Diamond（跨链聚合）,bridge,exclude,manual-addressbook,2026-07,address-book 实战核验,,,,,,,
0x13e46b2a3f8512ed4682a8fb8b560589fe3c2172,base,Orbiter Finance,bridge,exclude,spellbook-bridges+dune-labels,2023-11-15,Dune labels.addresses model=bridges_base,,,,2026-07-16,,,bridges_base
0x18dd3c14e34c1bc379f7538068c59160d9f68e25,base,Relay 桥 solver 热钱包 #12（供gas/代发/交付，假共同金主头号源）,bridge,exclude,registry-official,2026-07-17,api.relay.link/chains solverAddresses 字段官方 API 亲验 2026-07-17；getCode EOA亲验 2026-07-17,,,,,2026-07-17,,
0x2bb27b73c602643f42471d4751fe4fc4eebefbd1,base,Relay 桥 solver 热钱包 #13（供gas/代发/交付，假共同金主头号源）,bridge,exclude,registry-official,2026-07-17,api.relay.link/chains solverAddresses 字段官方 API 亲验 2026-07-17；getCode EOA亲验 2026-07-17,,,,,2026-07-17,,
0x331d9a049d496385998067abf6cbb6371c8d2466,base,Relay 桥 solver 热钱包 #10（供gas/代发/交付，假共同金主头号源）,bridge,exclude,registry-official,2026-07-17,api.relay.link/chains solverAddresses 字段官方 API 亲验 2026-07-17；getCode EOA亲验 2026-07-17,,,,,2026-07-17,,
0x344daadde53a81f95bcc46a99d39107a509251a1,base,Relay 桥 solver 热钱包 #18（供gas/代发/交付，假共同金主头号源）,bridge,exclude,registry-official,2026-07-17,api.relay.link/chains solverAddresses 字段官方 API 亲验 2026-07-17；getCode EOA亲验 2026-07-17,,,,,2026-07-17,,
