address,chain,name,category,tier,source,added_date,evidence,risk_flags,merge_policy,balance_policy,source_snapshot_at,verified_at,status,raw_labels
0x0d4eca97c066961e0caa10608a0736f858dd13e6,bsc,"""Prediction"" 高频对倒 bot 代理（292万笔+净仓恒零）",bot-service,exclude,manual-addressbook,2026-07,address-book 实战核验,,,,,,,
0x021750e46a47b2a02f4f860c93dcc774b1aba1d5,bsc,Anyswap: CHART Token,bridge,exclude,dawsbot+brianleect+curation,,Multichain 2023-07 停摆，历史标签保留供旧数据分析；v4.2 curation 固化：v4.1 现库手术打的 historical 状态(原 source=dawsbot+brianleect),,,,2026-07-17,,historical,multichain
0x035de3679e692c471072d1a09beb9298fbb2bd31,bsc,Wormhole: BUSD Token,bridge,exclude,dawsbot+tokens+brianleect,,,,,,2026-07-17,,,wormhole
0x03f3ce711bc6ffc6449d5cf9a2d8a9759f0742d7,bsc,Ogma Network (OGMA),bridge,exclude,tokens+brianleect,,,,,,2026-07-17,,,
0x04068da6c83afcfa0e13ba15a6696662335d5b75,bsc,Anyswap: STAKE Token,bridge,exclude,dawsbot+brianleect+curation,,Multichain 2023-07 停摆，历史标签保留供旧数据分析；v4.2 curation 固化：v4.1 现库手术打的 historical 状态(原 source=dawsbot+brianleect),,,,2026-07-17,,historical,multichain
0x050e198e36a73a1e32f15c3afc58c4506d82f657,bsc,LI.FI Receiver（收币转交用户）,bridge,exclude,registry-official,2026-07-17,lifinance/contracts deployments JSON 官方仓库 2026-07-17；getCode 合约码len=18234 2026-07-17,,,,,2026-07-17,,
0x05185872898b6f94aa600177ef41b9334b1fa48b,bsc,Gnosis Chain,bridge,exclude,spellbook-bridges+dawsbot+dune-labels,2023-11-20,Dune labels.addresses model=bridges_bnb,,,,2026-07-16,,,bridges_bnb
0x05b70fb5477a93be33822bfb31fdaf2c171970df,bsc,Mayan,bridge,exclude,spellbook-bridges+dawsbot+brianleect+dune-labels,2023-11-20,Dune labels.addresses model=bridges_bnb,,,,2026-07-16,,,bridges_bnb|defi
0x08f6fe8f4dc577cf81e40e03e561d29b8b33e19b,bsc,Anyswap: DIGG Token,bridge,exclude,dawsbot+brianleect+curation,,Multichain 2023-07 停摆，历史标签保留供旧数据分析；v4.2 curation 固化：v4.1 现库手术打的 historical 状态(原 source=dawsbot+brianleect),,,,2026-07-17,,historical,multichain
0x0a6a15964fee494a881338d65940430797f0d97c,bsc,Stargate V2: Treasurer,bridge,exclude,registry-official,2026-07-17,官方 docs mainnet-contracts BNB Chain 段逐字核验,,,,,2026-07-17,,
0x0aaef3db5d2847b231468658001c278ee892b7e8,bsc,Anyswap: BAB Token,bridge,exclude,dawsbot+brianleect+curation,,Multichain 2023-07 停摆，历史标签保留供旧数据分析；v4.2 curation 固化：v4.1 现库手术打的 historical 状态(原 source=dawsbot+brianleect),,,,2026-07-17,,historical,multichain
0x0acaabc390d7d7134eef4166f61e3e30b362f675,bsc,YIN Finance (anyYIN),bridge,exclude,brianleect,2023-10,,,,,2023-10,,,multichain
0x0f7ae28de1c8532170ad4ee566b5801485c13a0e,bsc,Across MulticallHandler（fill 后中转交付用户，假金主源）,bridge,exclude,registry-official,2026-07-17,across-protocol/contracts broadcast/deployed-addresses.json 权威表+docs 双源 2026-07-17；getCode 合约码len=7518 2026-07-17,,,,,2026-07-17,,
0x0feadcc3824e7f3c12f40e324a60c23ca51627fc,bsc,WardenSwap Token (Warden),bridge,exclude,tokens+brianleect,,,,,,2026-07-17,,,
0x10d8b8daa26d307489803e10477de69c0492b610,bsc,Across SpokePoolPeriphery,bridge,exclude,registry-official,2026-07-17,across-protocol/contracts broadcast/deployed-addresses.json 权威表+docs 双源 2026-07-17；getCode 合约码len=30694 2026-07-17,,,,,2026-07-17,,
0x116526135380e28836c6080f1997645d5a807fae,bsc,Martik (MTK),bridge,exclude,tokens+brianleect,,,,,,2026-07-17,,,
0x11a0c9270d88c99e221360bca50c2f6fda44a980,bsc,Celer cBridge: OriginalTokenVaultV2,bridge,exclude,registry-official,2026-07-17,官方 cbridge-docs contract-addresses BNB Chain 行逐字核验,,,,,2026-07-17,,
0x1231deb6f5749ef6ce6943a275a1d3e7486f4eae,bsc,LI.FI Diamond（跨链聚合）,bridge,exclude,manual-addressbook,2026-07,address-book 实战核验,,,,,,,
