address,chain,name,category,tier,source,added_date,evidence,risk_flags,merge_policy,balance_policy,source_snapshot_at,verified_at,status,raw_labels
0x2a7f3d7486641c77600b9b9256132755c8aebb4f,robinhood,公共 bot 卖币执行合约（同模板；按 txfrom 穿透真实卖家）,bot-service,exclude,manual-addressbook,2026-07,address-book 实战核验,,,,,,,
0x2ca37ff95caf25366ef16fc2e655b78a165d125f,robinhood,"公共工具合约（12.5KB 未验证；""漏斗""定性前先 getCode）",bot-service,exclude,manual-addressbook,2026-07,address-book 实战核验,,,,,,,
0x2e9b3fc5e73221e8ac0da2a1d836bda0273eab7f,robinhood,App 交易路径中转（同秒入出，上游 RobinHoodSettler）,bot-service,exclude,manual-addressbook,2026-07-17,TRASH 增量核验：经它转入=App 内市场买入交付，共同上游≠关联,,,,,,,
0x3da66157309794822c1506702a9c966fd9612773,robinhood,原子中转小合约（同 tx 同额转发，假集群元凶）,bot-service,exclude,manual-addressbook,2026-07,address-book 实战核验,,,,,,,
0x48a097df16c7844a33b1c3d11ab353457846e13f,robinhood,路由/中转合约组,bot-service,exclude,manual-addressbook,2026-07,address-book 实战核验,,,,,,,
0x4e5ffb3bd801d9db9a98daee7d4293afd46da677,robinhood,路由/中转合约组,bot-service,exclude,manual-addressbook,2026-07,address-book 实战核验,,,,,,,
0x50ad1c820290c9cc694dd47b0a61323f4d163e7e,robinhood,路由/中转合约组,bot-service,exclude,manual-addressbook,2026-07,address-book 实战核验,,,,,,,
0x5d6395cde0e26aa97fcf3a8004439f29a9124d5c,robinhood,公共工具合约（21.6KB 未验证）,bot-service,exclude,manual-addressbook,2026-07,address-book 实战核验,,,,,,,
0x65050a9b7e5075a2ba5ced7b1b64ee66262c40dc,robinhood,公共狙击 bot 执行代理（1500+ 独立用户，共用≠关联）,bot-service,exclude,manual-addressbook,2026-07,address-book 实战核验,,,,,,,
0x68be5163fdd75ecad02aee1c9242e8afc8e95c8d,robinhood,公共 bot 卖币执行合约第三部署（同模板）,bot-service,exclude,manual-addressbook,2026-07,address-book 实战核验,,,,,,,
0x7b021ceb65edaf40ed73c51e78cf44ad4edf99a4,robinhood,路由/中转合约组,bot-service,exclude,manual-addressbook,2026-07,address-book 实战核验,,,,,,,
0x8f10b468b06c6fd214b65f87778827f7d113f996,robinhood,套利/路由 bot 原子中转（PM↔交付金库对倒，零驻留）,bot-service,exclude,manual-addressbook,2026-07-17,TRASH 增量核验,,,,,,,
0x9be3cc594a47d90148b9f65466c57600018d237c,robinhood,"公共 bot 卖币执行合约（""经同一合约出货""永不构成协同证据）",bot-service,exclude,manual-addressbook,2026-07,address-book 实战核验,,,,,,,
0xa58bdd0ab5ebbb8dc425090fea8fd0ba969c1668,robinhood,路由/中转合约组（100% 同 tx 进出）,bot-service,exclude,manual-addressbook,2026-07,address-book 实战核验,,,,,,,
0xa687b664662b96b180346d699a6d5b42e9b05d31,robinhood,聚合卖出路由/原子中转（549 上游→唯一下游 PM，余额恒 0）,bot-service,exclude,manual-addressbook,2026-07-17,TRASH 增量核验：转给它=同 tx 落池卖出，勿判私有漏斗,,,,,,,
0xb01ca24bd01be40ee950a8746cf7546134442049,robinhood,公共 swap bot 合约（双向；0.99 ETH 默认参数指纹≠同一运营者）,bot-service,exclude,manual-addressbook,2026-07,address-book 实战核验,,,,,,,
0xb0999731f7c2581844658a9d2ced1be0077b7397,robinhood,"公共 bot 服务费收集地址（""共同下游""不构成关联）",bot-service,exclude,manual-addressbook,2026-07,address-book 实战核验,,,,,,,
0xd7aaa32920ebca1ef9b9bc684f519da56b37503d,robinhood,公共卖币执行合约（66 txfrom 同 tx 等额进出落池）,bot-service,exclude,manual-addressbook,2026-07,BEGGAR 核验 2026-07-17,,,,,,,
0xe492912f37c2a4eca45d42dc67548f4c6cd7ce2b,robinhood,买入代理合约（IN 全来自 PoolManager、OUT 分发 300+ 址）,bot-service,exclude,manual-addressbook,2026-07,address-book 实战核验,,,,,,,
0x1d187c3e2da52d72bc9c41e3aba0fdfa6a7bf055,robinhood,Robinhood 官方桥 L2 Weth Gateway,bridge,exclude,manual-rhdocs,2026-07-16,docs.robinhood.com/chain 官方合约页,,,,,,,
0x1e324b9316138ca9a73f960213621ad1aaf01b89,robinhood,Robinhood 官方桥 L2 Gateway Router,bridge,exclude,manual-rhdocs,2026-07-16,docs.robinhood.com/chain 官方合约页,,,,,,,
0x4cd00e387622c35bddb9b4c962c136462338bc31,robinhood,RelayDepository（Relay 桥存款库；depositNative=跨链离场断头）,bridge,exclude,manual-addressbook,2026-07-17,TRASH 增量核验：创建者利润经 23 跳板归集离场通道,,,,,,,
0x56c262027e0de4aea31d2489529cb25d23e58a8b,robinhood,Relay 桥 solver 热钱包 #3（供gas/代发/交付，假共同金主头号源）,bridge,exclude,manual-addressbook+curation+registry-official,2026-07,api.relay.link/chains solverAddresses 字段官方 API 亲验 2026-07-17；getCode EOA亲验 2026-07-17,,,,,2026-07-17,,
0x78680385fcb8187ac1b28e0d6b1e0acf5e0d0992,robinhood,CCIP 桥出收集通道（收币→同链 burn；转给它=桥出回主链）,bridge,exclude,manual-addressbook,2026-07,address-book 实战核验,,,,,,,
0x912285144fc0f6e89d3ed16f5ab72f87a1878959,robinhood,Robinhood 官方桥 L2 Arb-Custom Gateway,bridge,exclude,manual-rhdocs,2026-07-16,docs.robinhood.com/chain 官方合约页,,,,,,,
0xa67d7eb4dc68fa6ce8e34ef8cadaf075b9893fbb,robinhood,Relay 桥 solver 热钱包 #2（供gas/代发/交付，假共同金主头号源）,bridge,exclude,manual-addressbook+curation+registry-official,2026-07,api.relay.link/chains solverAddresses 字段官方 API 亲验 2026-07-17；getCode EOA亲验 2026-07-17,,,,,2026-07-17,,
0xabb2acd3be814a80e502575d6c1dc5f789e9cd10,robinhood,Relay 桥 solver 热钱包 #4（供gas/代发/交付，假共同金主头号源）,bridge,exclude,manual-addressbook+curation+registry-official,2026-07,api.relay.link/chains solverAddresses 字段官方 API 亲验 2026-07-17；getCode EOA亲验 2026-07-17,,,,,2026-07-17,,
0xada5bb90d0de0bd1b6f3938708f49295a8d1f7cb,robinhood,Relay 桥 solver 热钱包 #5（供gas/代发/交付，假共同金主头号源）,bridge,exclude,registry-official,2026-07-17,api.relay.link/chains solverAddresses 字段官方 API 亲验 2026-07-17；getCode EOA亲验 2026-07-17,,,,,2026-07-17,,
0xb477751b76cf82d00a686a1232f5fcd772414af3,robinhood,LiFiDiamond（跨链聚合路由，原子过手）,bridge,exclude,manual-addressbook,2026-07,address-book 实战核验,,,,,,,
0xb92fe925dc43a0ecde6c8b1a2709c170ec4fff4f,robinhood,Relay/App 代币交付金库（双向：入=市场买入；转给它=同 tx 原子落池卖出）,bridge,exclude,manual-addressbook,2026-07,address-book 实战核验,,,,,,,
