address,chain,name,category,tier,source,added_date,evidence,risk_flags,merge_policy,balance_policy,source_snapshot_at,verified_at,status,raw_labels
DEbrdGj3HsRsAzx6uH4MKyREKxVAfBydijLUF3ygsFfh,sol,deBridge DLN 程序,bridge,exclude,solprog,2026-07-16,RPC executable 核验+vanity/官方文档,,,,2026-07-16,,,
HNCne2FkVaNghhjKXapxJzPaBvAKDG1Ge3gqhZyfVWLM,sol,Base-Solana 官方桥 Bridge 程序,bridge,exclude,manual-addressbook,2026-07,address-book 实战核验,,,,,,,
g1et5VenhfJHJwsdJsDbxWZuotD5H4iELNG61kS4fb9,sol,Base-Solana 官方桥 Base Relayer 程序,bridge,exclude,manual-addressbook,2026-07,address-book 实战核验,,,,,,,
worm2ZoG2kUd4vFXhvjh93UUH596ayRfgQ2MgjNMTth,sol,Wormhole Core Bridge,bridge,exclude,solprog,2026-07-16,RPC executable 核验+vanity/官方文档,,,,2026-07-16,,,
wormDTUJ6AWPNvk59vGQbDvGJmqbDTdgWgAqcLBCgUb,sol,Wormhole Portal Token Bridge,bridge,exclude,solprog,2026-07-16,RPC executable 核验+vanity/官方文档,,,,2026-07-16,,,
1nc1nerator11111111111111111111111111111111,sol,Incinerator 销毁地址,burn,exclude,manual-addressbook,2026-07,协议常识,,,,,,,
28nYGHJyUVcVdxZtzKByBXEj127XnrUkrE3VaGuWj1ZU,sol,Ceffu: Ceffu 1,cex,exclude,spellbook-cex-solana,2025-07-07,,,,,2026-07-16,,,
2AQdpHJ2JpcEgPiATUXjQxA8QmafFegfQwSLWSprPicm,sol,Coinbase: Coinbase 2,cex,exclude,spellbook-cex-solana,2024-04-19,,,,,2026-07-16,,,
2E1UKoiiZPwsp4vn6tUh5k61kG2UqYpT7oBrFaJUJXXd,sol,Swissborg: Swissborg 5,cex,exclude,spellbook-cex-solana,2024-04-19,,,,,2026-07-16,,,
2XxP4kS2vfkiMvpLpGNxry3fPUYimsuAmSbqL1KnuwZ8,sol,Swissborg: Swissborg 3,cex,exclude,spellbook-cex-solana,2024-04-19,,,,,2026-07-16,,,
2ojv9BAiHUrvsm9gxDe7fJSzbNZSJcxZvf8dqmWGHG8S,sol,Binance: Binance 4,cex,exclude,spellbook-cex-solana,2024-04-19,,,,,2026-07-16,,,
3Nvb6UeEMVLf9DsehhqT8B5SNHrNLEpHdf42nXi9aLK8,sol,CoinDCX: CoinDCX 2,cex,exclude,spellbook-cex-solana,2024-04-19,,,,,2026-07-16,,,
3bLkLrRvkwHMrqyoCaDSCn6bZnpfJCVsHxcmznUwB1p5,sol,Bitget 储备钱包 2,cex,exclude,defillama-por,2026-07-17,Bitget 向 DefiLlama CEX 透明度面板自报储备地址（C 级）；链上核验在,,,,,2026-07-17,,
3gd3dqgtJ4jWfBfLYTX67DALFetjc5iS72sCgRhCkW2u,sol,Binance 冷钱包2,cex,exclude,spellbook-cex-solana+manual-addressbook,2024-04-19,address-book 实战核验,,,,2026-07-16,,,
3yFwqXBfZY4jBVUafQ1YEXw189y2dN3V5KQq9uzBDy1E,sol,Binance: Binance 19,cex,exclude,spellbook-cex-solana,2024-04-19,,,,,2026-07-16,,,
42brAgAVNzMBP7aaktPvAmBSPEkehnFQejiZc53EpJFd,sol,Bybit 冷钱包,cex,exclude,spellbook-cex-solana+manual-chainverify,2024-04-19,GMGN name=Bybit Cold Wallet+spellbook 双源；链上核验在,,,,2026-07-16,2026-07-17,,
42zAGwv37eZFwwcExfCAV9oSw2kNQX3aBxsbM6zvQECM,sol,Bitget 储备钱包 3,cex,exclude,defillama-por,2026-07-17,DefiLlama bitget adapter solana.owners（C 级）；链上核验在,,,,,2026-07-17,,
43DbAvKxhXh1oSxkJSqGosNw3HpBnmsWiak6tB5wpecN,sol,Backpack: Backpack 9,cex,exclude,spellbook-cex-solana,2024-04-19,,,,,2026-07-16,,,
44DwSkZbY2PVo9wfFP21D7HG7xf5rw8QaF6xSLGSfm7P,sol,OKX: OKX 30,cex,exclude,spellbook-cex-solana,2024-04-19,,,,,2026-07-16,,,
48Zo7g9SReCWmNtCvr2es4H9CLCRQHrSND2Wzi61sCsQ,sol,Bitget 储备钱包 6,cex,exclude,defillama-por,2026-07-17,DefiLlama bitget adapter solana.owners（C 级）；链上核验在,,,,,2026-07-17,,
4DgunMfBb19GaMZ1Z48oqcymZ4eBA4v5SUdRnapzj66G,sol,Coinsquare: Coinsquare 2,cex,exclude,spellbook-cex-solana,2024-04-19,,,,,2026-07-16,,,
4E73T5Zubx3kPtheJ5DB6QMEaadMQowhUcdRV6f9rvVt,sol,CoinDCX: CoinDCX 3,cex,exclude,spellbook-cex-solana,2024-04-19,,,,,2026-07-16,,,
