address,chain,reason,weight,context,seen_date
0xea758cac6115309b325c582fd0782d79e3502177,base,高度数节点 deg=10757（疑似路由/分发设施）,10757,jesse cluster,2026-07-18
0xd8ba9d1a99fc21f0eca24e9b85737c28a194a4e2,base,高度数节点 deg=915（疑似路由/分发设施）,915,jesse cluster,2026-07-18
0x00000000009726632680fb29d3f7a9734e3010e2,base,高度数节点 deg=754（疑似路由/分发设施）,754,jesse cluster,2026-07-18
0xe55bbed98db8f64d0d6813c819d6b037c2ee61be,base,高度数节点 deg=6061（疑似路由/分发设施）,6061,jesse cluster,2026-07-18
0xd87b6f1b9fcb9deb0baf5661ffd9775ab5e94a55,base,高度数节点 deg=1309（疑似路由/分发设施）,1309,jesse cluster,2026-07-18
0x49e3d83b6360dcbd4861f73d2eb3feb06e29fd2e,base,高度数节点 deg=1463（疑似路由/分发设施）,1463,jesse cluster,2026-07-18
0x411d2c093e4c2e69bf0d8e94be1bf13dadd879c6,base,高度数节点 deg=3781（疑似路由/分发设施）,3781,jesse cluster,2026-07-18
0x0a2854fbbd9b3ef66f17d47284e7f899b9509330,base,高度数节点 deg=1116（疑似路由/分发设施）,1116,jesse cluster,2026-07-18
0x88649f4743a758171077b98ee2003f1989b1615a,base,高度数节点 deg=266（疑似路由/分发设施）,266,jesse cluster,2026-07-18
0xd2274d40bd6cea7fd817a357ad0fad89eea8d973,base,高度数节点 deg=2941（疑似路由/分发设施）,2941,jesse cluster,2026-07-18
0xd7f1dd5d49206349cae8b585fcb0ce3d96f1696f,base,高度数节点 deg=434（疑似路由/分发设施）,434,jesse cluster,2026-07-18
0xc38e4e6a15593f908255214653d3d947ca1c2338,base,高度数节点 deg=282（疑似路由/分发设施）,282,jesse cluster,2026-07-18
0xcd6b980029e6e6e0733ac8ec3e02be9410d09799,base,高度数节点 deg=643（疑似路由/分发设施）,643,jesse cluster,2026-07-18
0x89c6340b1a1f4b25d36cd8b063d49045caf3f818,base,高度数节点 deg=326（疑似路由/分发设施）,326,jesse cluster,2026-07-18
0x2691f337abeb0146f16441ca4f82f363275851d5,base,高度数节点 deg=450（疑似路由/分发设施）,450,jesse cluster,2026-07-18
0xcd824d675a52ac543d3d826beef08742e8b53e13,base,高度数节点 deg=206（疑似路由/分发设施）,206,jesse cluster,2026-07-18
0xb65ecea7ba9765eabae22867d538a35eef6e4bd6,base,高度数节点 deg=318（疑似路由/分发设施）,318,jesse cluster,2026-07-18
0x15c713440c441e4c826f2970813bcd06ee96f457,base,高度数节点 deg=468（疑似路由/分发设施）,468,jesse cluster,2026-07-18
0xa2cba9f57ba62999923bae943ff6d016990d1eaa,base,高度数节点 deg=401（疑似路由/分发设施）,401,jesse cluster,2026-07-18
0x227da4f037ab0ea141fcfd37bea1aa6f488cabf1,base,高度数节点 deg=6767（疑似路由/分发设施）,6767,jesse cluster,2026-07-18
0xbe6e0de8f96c8decb7ab3734247e7774f6609f84,base,高度数节点 deg=257（疑似路由/分发设施）,257,jesse cluster,2026-07-18
0x0554a2857afcb67ca14181461a8eb2699ed90a98,base,高度数节点 deg=445（疑似路由/分发设施）,445,jesse cluster,2026-07-18
0x43f9a7aec2a683c4cd6016f92ff76d5f3e7b44d3,base,高度数节点 deg=292（疑似路由/分发设施）,292,jesse cluster,2026-07-18
0x5e766616aabfb588e23a8ea854e9dbd1042affd3,base,高度数节点 deg=211（疑似路由/分发设施）,211,jesse cluster,2026-07-18
0x2211d1d0020daea8039e46cf1367962070d77da9,base,高度数节点 deg=11209（疑似路由/分发设施）,11209,jesse cluster,2026-07-18
0x4e40ff3be6bda5b131c91520fa73515076eee098,base,高度数节点 deg=3860（疑似路由/分发设施）,3860,jesse cluster,2026-07-18
0x3c3ad27a7f71959fc305af9170d0dbf2846aea06,base,高度数节点 deg=334（疑似路由/分发设施）,334,jesse cluster,2026-07-18
0xc31e0a51dfe18440d487b952b3f960052d811649,base,高度数节点 deg=5010（疑似路由/分发设施）,5010,jesse cluster,2026-07-18
0xff6b685259dc9d6eda0bf24fc0621876bda992a9,base,高度数节点 deg=7020（疑似路由/分发设施）,7020,jesse cluster,2026-07-18
0x7f84b6cd975db619e3f872e3f8734960353c7a09,base,高度数节点 deg=22316（疑似路由/分发设施）,22316,jesse cluster,2026-07-18
0xe0f6e465809bd4c8fc135db0e4c38721a7eb1c10,base,高度数节点 deg=650（疑似路由/分发设施）,650,jesse cluster,2026-07-18
0x71678db316259f9afc2396f394bb301f8b942a1d,base,高度数节点 deg=847（疑似路由/分发设施）,847,jesse cluster,2026-07-18
0x5d09ddd53feffc52f5139a59246ced560d8c45df,base,高度数节点 deg=342（疑似路由/分发设施）,342,jesse cluster,2026-07-18
0x073eb4e087adc1b1df8b8d97f345fc30ee5f1965,base,高度数节点 deg=321（疑似路由/分发设施）,321,jesse cluster,2026-07-18
0x24cc43029b9094a32a49556fc3a2fbb18afcb98f,base,高度数节点 deg=3352（疑似路由/分发设施）,3352,jesse cluster,2026-07-18
0x4988c9c03950f10b14bf7e8bee5d5a4ede8c45b7,base,高度数节点 deg=396（疑似路由/分发设施）,396,jesse cluster,2026-07-18
0xda864364f7d1ebcc7c89e9610ebdef45ddf5f81b,base,高度数节点 deg=399（疑似路由/分发设施）,399,jesse cluster,2026-07-18
0x49f28b8eb15b5fa756ff3023ba5a998052d10a41,base,高度数节点 deg=212（疑似路由/分发设施）,212,jesse cluster,2026-07-18
0x7e0a6030cdd0dd767c120828cc0bc275f175033d,base,高度数节点 deg=762（疑似路由/分发设施）,762,jesse cluster,2026-07-18
0x785648669b8e90a75a6a8de682258957f9028462,base,高度数节点 deg=13061（疑似路由/分发设施）,13061,jesse cluster,2026-07-18
0x9a3eb7cc81bdf2384f81003de5f6f453e79c7015,base,高度数节点 deg=221（疑似路由/分发设施）,221,jesse cluster,2026-07-18
0xba5502536ad555ed625397872ea09cd4a39ea014,base,高度数节点 deg=20084（疑似路由/分发设施）,20084,jesse cluster,2026-07-18
