address,chain,name,category,tier,source,added_date,evidence,risk_flags,merge_policy,balance_policy,source_snapshot_at,verified_at,status,raw_labels
0x8b6a3587676719a4fecbb24b503a3634c44a44d5,arbitrum,HTX: HTX 64,cex,exclude,dune-cex-addresses,2024-04-20,Dune cex.addresses 快照 2026-08-12; 与 eth/bsc/base 现库同址同所互证,,,,2026-08-12,,,
0xab72bd3eb3b5cc90165fa39da85ad0d496330c00,arbitrum,Binance: Binance 107,cex,exclude,dune-cex-addresses,2025-07-07,Dune cex.addresses 快照 2026-08-12; 与 eth/bsc/base 现库同址同所互证,,,,2026-08-12,,,
0xd551234ae421e3bcba99a0da6d736074f22192ff,arbitrum,Binance: Binance 2,cex,exclude,dune-cex-addresses,2022-08-28,Dune cex.addresses 快照 2026-08-12; 与 eth/bsc/base 现库同址同所互证,,,,2026-08-12,,,
0x56eddb7aa87536c09ccc2793473599fd21a8b17f,arbitrum,Binance: Binance 17,cex,exclude,dune-cex-addresses,2022-08-28,Dune cex.addresses 快照 2026-08-12; 与 eth/bsc/base 现库同址同所互证,,,,2026-08-12,,,
0x01c952174c24e1210d26961d456a77a39e1f0bb0,arbitrum,Binance: Binance 52,cex,exclude,dune-cex-addresses,2023-11-20,Dune cex.addresses 快照 2026-08-12; 与 eth/bsc/base 现库同址同所互证,,,,2026-08-12,,,
0xe4b5b2667e049ac8c79ae6c5a7e3300815aa32be,arbitrum,Binance: Binance 100,cex,exclude,dune-cex-addresses,2025-06-25,Dune cex.addresses 快照 2026-08-12; 与 eth/bsc/base 现库同址同所互证,,,,2026-08-12,,,
0x66f791456b82921cbc3f89a98c24ea21784973a1,arbitrum,Binance: Binance HTX Deposit,cex,exclude,dune-cex-addresses,2023-11-22,Dune cex.addresses 快照 2026-08-12; 与 eth/bsc/base 现库同址同所互证,,,,2026-08-12,,,
0xb3f923eabaf178fc1bd8e13902fc5c61d3ddef5b,arbitrum,Binance: Binance Wintermute Deposit 1,cex,exclude,dune-cex-addresses,2022-08-28,Dune cex.addresses 快照 2026-08-12; 与 eth/bsc/base 现库同址同所互证,,,,2026-08-12,,,
0x9be89d2a4cd102d8fecc6bf9da793be995c22541,arbitrum,Binance: Binance ETH and ERC20 tokens Proof of Assets,cex,exclude,dune-cex-addresses,2022-11-14,Dune cex.addresses 快照 2026-08-12; 与 eth 现库同址同所互证; 与 bsc 现库同址同所互证(现库旧格式名: Binance ETH and ERC20 tokens Proof of Assets),,,,2026-08-12,,,
0xa180fe01b906a1be37be6c534a3300785b20d947,arbitrum,Binance: Binance Withdrawals 3,cex,exclude,dune-cex-addresses,2023-11-20,Dune cex.addresses 快照 2026-08-12; 与 eth/bsc/base 现库同址同所互证,,,,2026-08-12,,,
0x73f5ebe90f27b46ea12e5795d16c4b408b19cc6f,arbitrum,Binance: Binance Withdrawals 6,cex,exclude,dune-cex-addresses,2023-11-20,Dune cex.addresses 快照 2026-08-12; 与 eth/base 现库同址同所互证; 与 bsc 现库同址同所互证(现库旧格式名: Binance BSC 二级提币热钱包（nonce 百万级）),,,,2026-08-12,,,
0xee5b5b923ffce93a870b3104b7ca09c3db80047a,arbitrum,Bybit: Bybit 4,cex,exclude,dune-cex-addresses,2023-04-06,Dune cex.addresses 快照 2026-08-12; 与 eth/bsc/base 现库同址同所互证,,,,2026-08-12,,,
0x0e4158c85ff724526233c1aeb4ff6f0c46827fbe,arbitrum,Binance: Binance 72,cex,exclude,dune-cex-addresses,2024-04-20,Dune cex.addresses 快照 2026-08-12; 与 eth/bsc/base 现库同址同所互证,,,,2026-08-12,,,
0x6d8be5cdf0d7dee1f04e25fd70b001ae3b907824,arbitrum,Binance: Binance 85,cex,exclude,dune-cex-addresses,2024-04-20,Dune cex.addresses 快照 2026-08-12; 与 eth/bsc/base 现库同址同所互证,,,,2026-08-12,,,
0x6d9348910e6ed90c1bb170c47965f5f7b8e19763,arbitrum,Binance: Binance 95,cex,exclude,dune-cex-addresses,2025-06-16,Dune cex.addresses 快照 2026-08-12; 与 eth/bsc/base 现库同址同所互证,,,,2026-08-12,,,
0xcc71dd74183ea325f537665678263565c0b7e493,arbitrum,Binance: Binance 99,cex,exclude,dune-cex-addresses,2025-06-25,Dune cex.addresses 快照 2026-08-12; 与 eth/bsc/base 现库同址同所互证,,,,2026-08-12,,,
0xf5f3436a05b5ced2490dae07b86eb5bbd02782aa,arbitrum,Bybit: Bybit 7,cex,exclude,dune-cex-addresses,2023-11-15,Dune cex.addresses 快照 2026-08-12; 与 eth/bsc/base 现库同址同所互证,,,,2026-08-12,,,
0x3d5202a0564de9b05ecd07c955bcca964585ea03,arbitrum,Bybit: Bybit 9,cex,exclude,dune-cex-addresses,2024-05-09,Dune cex.addresses 快照 2026-08-12; 与 eth/bsc/base 现库同址同所互证,,,,2026-08-12,,,
0x260b364fe0d3d37e6fd3cda0fa50926a06c54cea,arbitrum,Bybit: Bybit 40,cex,exclude,dune-cex-addresses,2025-07-31,Dune cex.addresses 快照 2026-08-12; 与 eth/bsc/base 现库同址同所互证,,,,2026-08-12,,,
0xa95b83af96d0b8a90bd507f2bd82ad8f3dbb86bc,arbitrum,Bybit: Bybit Gas Supplier 2,cex,exclude,dune-cex-addresses,2023-11-20,Dune cex.addresses 快照 2026-08-12; 与 eth/bsc/base 现库同址同所互证,,,,2026-08-12,,,
0x95a9bd206ae52c4ba8eecfc93d18eacdd41c88cc,arbitrum,Coinbase: Coinbase 13,cex,exclude,dune-cex-addresses,2022-08-28,Dune cex.addresses 快照 2026-08-12; 与 eth/bsc/base 现库同址同所互证,,,,2026-08-12,,,
0x4a4e859565d9b563afc8e63641542455cff0dfd2,arbitrum,Coinbase: Coinbase 15,cex,exclude,dune-cex-addresses,2023-11-19,Dune cex.addresses 快照 2026-08-12; 与 eth/bsc/base 现库同址同所互证,,,,2026-08-12,,,
0x9810762578accf1f314320cca5b72506ae7d7630,arbitrum,Coinbase: Coinbase 23,cex,exclude,dune-cex-addresses,2023-11-19,Dune cex.addresses 快照 2026-08-12; 与 eth/bsc/base 现库同址同所互证,,,,2026-08-12,,,
0x05e3a758fdd29d28435019ac453297ea37b61b62,arbitrum,Coinbase: Coinbase 27,cex,exclude,dune-cex-addresses,2023-11-19,Dune cex.addresses 快照 2026-08-12; 与 eth/bsc/base 现库同址同所互证,,,,2026-08-12,,,
0x739120ade7ed878fca5bbdb806263a8258fe2360,arbitrum,Coinbase: Coinbase 29,cex,exclude,dune-cex-addresses,2023-11-19,Dune cex.addresses 快照 2026-08-12; 与 eth/bsc/base 现库同址同所互证,,,,2026-08-12,,,
0x563537412ad5d49faa7fa442b9193b8238d98c3c,arbitrum,Coinbase: Coinbase 46,cex,exclude,dune-cex-addresses,2024-04-04,Dune cex.addresses 快照 2026-08-12; 与 eth/bsc/base 现库同址同所互证,,,,2026-08-12,,,
0xe3aac971590635f601ea751096f11343c70ebadf,arbitrum,Coinbase: Coinbase 49,cex,exclude,dune-cex-addresses,2024-04-04,Dune cex.addresses 快照 2026-08-12; 与 eth/bsc/base 现库同址同所互证,,,,2026-08-12,,,
0x40ebc1ac8d4fedd2e144b75fe9c0420be82750c6,arbitrum,Coinbase: Coinbase 55,cex,exclude,dune-cex-addresses,2024-05-04,Dune cex.addresses 快照 2026-08-12; 与 eth/bsc/base 现库同址同所互证,,,,2026-08-12,,,
0x452746603bcdbd77b3789c0ec1bea316aafc9f8f,arbitrum,Coinbase: Coinbase 89,cex,exclude,dune-cex-addresses,2025-06-25,Dune cex.addresses 快照 2026-08-12; 与 eth/bsc/base 现库同址同所互证,,,,2026-08-12,,,
0xe33dd1487426ef7a6a7be7da11353d0d5b81cdc8,arbitrum,Coinbase: Coinbase 92,cex,exclude,dune-cex-addresses,2025-06-25,Dune cex.addresses 快照 2026-08-12; 与 eth/bsc/base 现库同址同所互证,,,,2026-08-12,,,
0xf481b7fab9f5d0e74f21ae595a749634fb053619,arbitrum,Coinbase: Coinbase 115,cex,exclude,dune-cex-addresses,2025-07-31,Dune cex.addresses 快照 2026-08-12; 与 eth/bsc/base 现库同址同所互证,,,,2026-08-12,,,
0xd47b4a4c6207b1ee0eb1dd4e5c46a19b50fec00b,arbitrum,Coinbase: Coinbase 116,cex,exclude,dune-cex-addresses,2025-07-31,Dune cex.addresses 快照 2026-08-12; 与 eth/bsc/base 现库同址同所互证,,,,2026-08-12,,,
0x35aeed3aa9657abf8b847038bb591b51e1e4c69f,arbitrum,Coinbase: Coinbase 198,cex,exclude,dune-cex-addresses,2025-07-31,Dune cex.addresses 快照 2026-08-12; 与 eth/bsc/base 现库同址同所互证,,,,2026-08-12,,,
0xdb3c617cdd2fbf0bb4309c325f47678e37f096d9,arbitrum,Coinbase: Coinbase 199,cex,exclude,dune-cex-addresses,2025-07-31,Dune cex.addresses 快照 2026-08-12; 与 eth/bsc/base 现库同址同所互证,,,,2026-08-12,,,
0xd5268a476aadd1a6729df5b3e5e8f2c1004139af,arbitrum,Coinbase: Coinbase 202,cex,exclude,dune-cex-addresses,2025-07-31,Dune cex.addresses 快照 2026-08-12; 与 eth/bsc/base 现库同址同所互证,,,,2026-08-12,,,
0x8535d5ed435e405a881545ffb2f8d6b81f6c9d41,arbitrum,Coinbase: Coinbase Gas Supplier 11,cex,exclude,dune-cex-addresses,2023-11-19,Dune cex.addresses 快照 2026-08-12; 与 eth/bsc/base 现库同址同所互证,,,,2026-08-12,,,
