"address","chain","name","category","tier","source","added_date","evidence","risk_flags","merge_policy","balance_policy","source_snapshot_at","verified_at","status","raw_labels"
"0x2faeb0760d4230ef2ac21496bb4f0b47d634fd4c","base","Base 活跃 ERC-4337 Paymaster（7日 93511 个 UserOp 代付；gas 溯源假金主源）","infra","exclude","manual-chainverify","2026-07-17","HyperSync 链上聚合 2026-07-17：UserOperationEvent topic3 聚合+getCode 亲验(码len=16696)；身份服务商未归属","","","","2026-07-17","2026-07-17","",""
"0x2cc0c7981d846b9f2a16276556f6e8cb52bfb633","base","Base 活跃 ERC-4337 Paymaster（7日 41198 个 UserOp 代付；gas 溯源假金主源）","infra","exclude","manual-chainverify","2026-07-17","HyperSync 链上聚合 2026-07-17：UserOperationEvent topic3 聚合+getCode 亲验(码len=290)；身份服务商未归属","","","","2026-07-17","2026-07-17","",""
"0x777777777777aec03fd955926dbf81597e66834c","base","Base 活跃 ERC-4337 Paymaster（7日 30625 个 UserOp 代付；gas 溯源假金主源）","infra","exclude","manual-chainverify","2026-07-17","HyperSync 链上聚合 2026-07-17：UserOperationEvent topic3 聚合+getCode 亲验(码len=30238)；身份服务商未归属","","","","2026-07-17","2026-07-17","",""
"0x6442f4729ee8c890d310ef92845d43184a12ee6a","base","Base 活跃 ERC-4337 Paymaster（7日 25742 个 UserOp 代付；gas 溯源假金主源）","infra","exclude","manual-chainverify","2026-07-17","HyperSync 链上聚合 2026-07-17：UserOperationEvent topic3 聚合+getCode 亲验(码len=12000)；身份服务商未归属","","","","2026-07-17","2026-07-17","",""
"0x6666666666667849c56f2850848ce1c4da65c68b","base","Base 活跃 ERC-4337 Paymaster（7日 21933 个 UserOp 代付；gas 溯源假金主源）","infra","exclude","manual-chainverify","2026-07-17","HyperSync 链上聚合 2026-07-17：UserOperationEvent topic3 聚合+getCode 亲验(码len=30278)；身份服务商未归属","","","","2026-07-17","2026-07-17","",""
"0x4fd9098af9ddcb41da48a1d78f91f1398965addc","base","Base 活跃 ERC-4337 Paymaster（7日 15731 个 UserOp 代付；gas 溯源假金主源）","infra","exclude","manual-chainverify","2026-07-17","HyperSync 链上聚合 2026-07-17：UserOperationEvent topic3 聚合+getCode 亲验(码len=464)；身份服务商未归属","","","","2026-07-17","2026-07-17","",""
"0x5fa66dfe8a3983e55071e8c4631ab43b5f33a4ab","base","Base 活跃 ERC-4337 Paymaster（7日 15717 个 UserOp 代付；gas 溯源假金主源）","infra","exclude","manual-chainverify","2026-07-17","HyperSync 链上聚合 2026-07-17：UserOperationEvent topic3 聚合+getCode 亲验(码len=11946)；身份服务商未归属","","","","2026-07-17","2026-07-17","",""
"0xdcbe0c1a00e4cf24ae77c52125e6e6b4f7c6db4e","base","Base 活跃 ERC-4337 Paymaster（7日 7910 个 UserOp 代付；gas 溯源假金主源）","infra","exclude","manual-chainverify","2026-07-17","HyperSync 链上聚合 2026-07-17：UserOperationEvent topic3 聚合+getCode 亲验(码len=13758)；身份服务商未归属","","","","2026-07-17","2026-07-17","",""
"0x886f51115829cb326b74e8a834fb93fe25e85050","base","Base 活跃 ERC-4337 Paymaster（7日 6165 个 UserOp 代付；gas 溯源假金主源）","infra","exclude","manual-chainverify","2026-07-17","HyperSync 链上聚合 2026-07-17：UserOperationEvent topic3 聚合+getCode 亲验(码len=342)；身份服务商未归属","","","","2026-07-17","2026-07-17","",""
"0x5d0ae8cbad6a88eda0fbe5e916992f9aed417bbb","base","Base 活跃 ERC-4337 Paymaster（7日 1222 个 UserOp 代付；gas 溯源假金主源）","infra","exclude","manual-chainverify","2026-07-17","HyperSync 链上聚合 2026-07-17：UserOperationEvent topic3 聚合+getCode 亲验(码len=8832)；身份服务商未归属","","","","2026-07-17","2026-07-17","",""
"0x00e13d60ac6d8dbc9786f77ef9f6696e8e2a075f","base","Base 活跃 ERC-4337 Paymaster（7日 921 个 UserOp 代付；gas 溯源假金主源）","infra","exclude","manual-chainverify","2026-07-17","HyperSync 链上聚合 2026-07-17：UserOperationEvent topic3 聚合+getCode 亲验(码len=8560)；身份服务商未归属","","","","2026-07-17","2026-07-17","",""
"0xd4b53c2ba502a91159685a7951ca44ad1dfa6fa1","base","Base 活跃 ERC-4337 Paymaster（7日 919 个 UserOp 代付；gas 溯源假金主源）","infra","exclude","manual-chainverify","2026-07-17","HyperSync 链上聚合 2026-07-17：UserOperationEvent topic3 聚合+getCode 亲验(码len=8560)；身份服务商未归属","","","","2026-07-17","2026-07-17","",""
