address,chain,name,category,tier,source,added_date,evidence,risk_flags,merge_policy,balance_policy,source_snapshot_at,verified_at,status,raw_labels
0x6E3d884C96d640526F273C61dfcF08915eBd7e2B,bsc,Stargate V2: TokenMessaging,bridge,exclude,registry-official,2026-07-17,官方 docs mainnet-contracts BNB Chain 段逐字核验（stargateprotocol.gitbook.io）,,,,2026-07-17,2026-07-17,,
0x962Bd449E630b0d928f308Ce63f1A21F02576057,bsc,Stargate V2: StargatePoolUSDC,bridge,exclude,registry-official,2026-07-17,官方 docs mainnet-contracts BNB Chain 段逐字核验,,,,2026-07-17,2026-07-17,,
0x138EB30f73BC423c6455C53df6D89CB01d9eBc63,bsc,Stargate V2: StargatePoolUSDT,bridge,exclude,registry-official,2026-07-17,官方 docs mainnet-contracts BNB Chain 段逐字核验,,,,2026-07-17,2026-07-17,,
0x26727C78B0209d9E787b2f9ac8f0238B122a3098,bsc,Stargate V2: StargateStaking,bridge,exclude,registry-official,2026-07-17,官方 docs mainnet-contracts BNB Chain 段逐字核验,,,,2026-07-17,2026-07-17,,
0x0a6A15964fEe494A881338D65940430797F0d97C,bsc,Stargate V2: Treasurer,bridge,exclude,registry-official,2026-07-17,官方 docs mainnet-contracts BNB Chain 段逐字核验,,,,2026-07-17,2026-07-17,,
0x68D7877b16002AD34836ba55416bcA9B92B55589,bsc,Stargate V2: StargateMultiRewarder,bridge,exclude,registry-official,2026-07-17,官方 docs mainnet-contracts BNB Chain 段逐字核验,,,,2026-07-17,2026-07-17,,
0x4a364f8c717cAAD9A442737Eb7b8A55cc6cf18D8,bsc,Stargate V1: Router,bridge,exclude,registry-official,2026-07-17,官方 docs V1 mainnet 合约页 BNB Chain 段逐字核验,,,,2026-07-17,2026-07-17,,
0x6694340fc020c5E6B96567843da2df01b2CE1eb6,bsc,Stargate V1: Bridge,bridge,exclude,registry-official,2026-07-17,官方 docs V1 mainnet 合约页 BNB Chain 段逐字核验,,,,2026-07-17,2026-07-17,,
0x1a44076050125825900e736c501f859c50fE728c,bsc,LayerZero V2: EndpointV2,bridge,exclude,registry-official,2026-07-17,官方 metadata API + npm 包 lz-evm-sdk-v2 双源核验,,,,2026-07-17,2026-07-17,,
0x3c2269811836af69497e5f486a85d7316753cf62,bsc,LayerZero V1: Endpoint,bridge,exclude,registry-official,2026-07-17,官方 metadata API chainKey=bsc version=1 核验,,,,2026-07-17,2026-07-17,,
0x9f8c645f2d0b2159767bd6e0839de4be49e823de,bsc,LayerZero V2: SendUln302,bridge,exclude,registry-official,2026-07-17,官方 metadata API（消息发送库）,,,,2026-07-17,2026-07-17,,
0xb217266c3a98c8b2709ee26836c98cf12f6ccec1,bsc,LayerZero V2: ReceiveUln302,bridge,exclude,registry-official,2026-07-17,官方 metadata API（消息接收库）,,,,2026-07-17,2026-07-17,,
0x3ebd570ed38b1b3b4bc886999fcf507e9d584859,bsc,LayerZero V2: Executor,bridge,exclude,registry-official,2026-07-17,官方 metadata API（执行器）,,,,2026-07-17,2026-07-17,,
0xdd90E5E87A2081Dcf0391920868eBc2FFB81a1aF,bsc,Celer cBridge: Bridge (pool-based),bridge,exclude,registry-official,2026-07-17,官方 cbridge-docs contract-addresses BNB Chain 行逐字核验,,,,2026-07-17,2026-07-17,,
0x78bc5Ee9F11d133A08b331C2e18fE81BE0Ed02DC,bsc,Celer cBridge: OriginalTokenVault,bridge,exclude,registry-official,2026-07-17,官方 cbridge-docs contract-addresses BNB Chain 行逐字核验,,,,2026-07-17,2026-07-17,,
0x11a0c9270D88C99e221360BCA50c2f6Fda44A980,bsc,Celer cBridge: OriginalTokenVaultV2,bridge,exclude,registry-official,2026-07-17,官方 cbridge-docs contract-addresses BNB Chain 行逐字核验,,,,2026-07-17,2026-07-17,,
0xd443FE6bf23A4C9B78312391A30ff881a097580E,bsc,Celer cBridge: PeggedTokenBridge,bridge,exclude,registry-official,2026-07-17,官方 cbridge-docs contract-addresses BNB Chain 行逐字核验,,,,2026-07-17,2026-07-17,,
0x26c76F7FeF00e02a5DD4B5Cc8a0f717eB61e1E4b,bsc,Celer cBridge: PeggedTokenBridgeV2,bridge,exclude,registry-official,2026-07-17,官方 cbridge-docs contract-addresses BNB Chain 行逐字核验,,,,2026-07-17,2026-07-17,,
0x3d85B598B734a0E7c8c1b62B00E972e9265dA541,bsc,Celer cBridge: Transfer Agent,bridge,exclude,registry-official,2026-07-17,官方 cbridge-docs contract-addresses BNB Chain 行逐字核验,,,,2026-07-17,2026-07-17,,
0xeF4fB24aD0916217251F553c0596F8Edc630EB66,bsc,deBridge DLN: DlnSource,bridge,exclude,registry-official,2026-07-17,官方 docs.debridge.com dln-details deployed-contracts BNB Chain 行核验,,,,2026-07-17,2026-07-17,,
0xE7351Fd770A37282b91D153Ee690B63579D6dd7f,bsc,deBridge DLN: DlnDestination,bridge,exclude,registry-official,2026-07-17,官方 docs.debridge.com dln-details deployed-contracts BNB Chain 行核验,,,,2026-07-17,2026-07-17,,
0x663DC15D3C1aC63ff12E45Ab68FeA3F0a883C251,bsc,deBridge DLN: DeBridgeRouter,bridge,exclude,registry-official,2026-07-17,官方 docs.debridge.com dln-details deployed-contracts BNB Chain 行核验,,,,2026-07-17,2026-07-17,,
0x43dE2d77BF8027e25dBD179B491e8d64f38398aA,bsc,deBridge: DeBridgeGate,bridge,exclude,registry-official,2026-07-17,官方 docs.debridge.com dmp-details deployed-contracts BNB Chain 行核验,,,,2026-07-17,2026-07-17,,
0x8a0C79F5532f3b2a16AD1E4282A5DAF81928a824,bsc,deBridge: CallProxy,bridge,exclude,registry-official,2026-07-17,官方 docs.debridge.com dmp-details deployed-contracts BNB Chain 行核验,,,,2026-07-17,2026-07-17,,
0x304acf330bbE08d1e512eefaa92F6a57871fD895,bsc,Axelar: Gateway,bridge,exclude,registry-official,2026-07-17,官方 GitHub axelar-contract-deployments mainnet.json chains.binance 核验,,,,2026-07-17,2026-07-17,,
0x2d5d7d31F671F86C782533cc367F14109a082712,bsc,Axelar: GasService,bridge,exclude,registry-official,2026-07-17,官方 GitHub axelar-contract-deployments mainnet.json chains.binance 核验,,,,2026-07-17,2026-07-17,,
0xB5FB4BE02232B1bBA4dC8f81dc24C26980dE9e3C,bsc,Axelar: InterchainTokenService,bridge,exclude,registry-official,2026-07-17,官方 GitHub mainnet.json + docs.axelar.dev 双源核验,,,,2026-07-17,2026-07-17,,
0xc1DCb196BA862B337Aa23eDA1Cb9503C0801b955,bsc,Axelar: DepositService,bridge,exclude,registry-official,2026-07-17,官方 GitHub axelar-contract-deployments mainnet.json chains.binance 核验,,,,2026-07-17,2026-07-17,,
0x98f3c9e6E3fAce36bAAd05FE09d375Ef1464288B,bsc,Wormhole: Core Bridge,bridge,exclude,registry-official,2026-07-17,官方 wormhole.com contract-addresses Core mainnet 表 BNB Smart Chain 行逐字核验（已排除 testnet 行）,,,,2026-07-17,2026-07-17,,
