"address","chain","name","category","tier","source","added_date","evidence","risk_flags","merge_policy","balance_policy","source_snapshot_at","verified_at","status","raw_labels"
"0xEC4549caDcE5DA21Df6E6422d448034B5233bFbC","bsc","four.meme TokenManager V1（代理；2024-09 前老币）","launchpad","exclude","registry-official","2026-07-17","four.meme 官方 gitbook 附件 API-Documents.md 亲验；getCode 有码","","","","2026-07-17","2026-07-17","",""
"0x5c952063c7fc8610FFDB798152D69F0B9550762b","bsc","four.meme TokenManager2 V2（主力交易/发币合约）","launchpad","exclude","registry-official","2026-07-17","官方 gitbook 附件 + BscScan 公共标签 Four.meme: Token Manager 双源；2846 万笔 tx","","","","2026-07-17","2026-07-17","",""
"0xF251F83e40a78868FcfA3FA4599Dad6494E46034","bsc","four.meme TokenManagerHelper3（查询包装器）","launchpad","exclude","registry-official","2026-07-17","官方 gitbook 附件亲验；ERC1967Proxy","","","","2026-07-17","2026-07-17","",""
"0x79c7909097a2a5cedb8da900e3192cee671521a6","bsc","four.meme TokenManagerHelper2（旧版 helper）","launchpad","exclude","registry-official","2026-07-17","官方 gitbook 附件 changelog 亲验","","","","2026-07-17","2026-07-17","",""
"0x09B44A633de9F9EBF6FB9Bdd5b5629d3DD2cef13","bsc","four.meme AgentIdentifier（Agent NFT 判定）","launchpad","exclude","registry-official","2026-07-17","官方 gitbook 附件亲验","","","","2026-07-17","2026-07-17","",""
"0x2b6e6e4def77583229299cf386438a227e683b28","bsc","four.meme fee 归集合约（行为推断）","launchpad","exclude","chain-inference","2026-07-17","非官方口径：未验证合约+V2 internal 高频转入+Creator=four.meme 部署者 0xe096…；$52.6 万余额 6.6 万笔 tx","","","","2026-07-17","2026-07-17","",""
"0xe096774fef711a0b28cb7bc9839b892bd5e2f603","bsc","four.meme 部署者 EOA（家族锚点）","contract-deployer","identity","manual-chainverify","2026-07-17","V1/V2/Helper3/0x757e…/fee 合约五者 BscScan Creator 均为此址；getCode 无码 EOA","","","","2026-07-17","2026-07-17","",""
"0x757eba15a64468e6535532fcf093cef90e226f85","bsc","four.meme 家族辅助合约（仅 18 笔 Create Token；非主合约——2026-07-17 身份修正）","launchpad","exclude","manual-fourmeme-audit","2026-07-17","身份修正：Creator 同为 0xe096… 确属家族，但仅 18 笔 tx/$0 余额；主力是 V2 0x5c95…（旧登记""主合约""有误）","","","","2026-07-17","2026-07-17","",""
"0x7fbc1ff9617d554d1902a3431a9c29dc2edaf1be","bsc","four.meme TokenManager V1 实现合约（impl）","launchpad","exclude","manual-chainverify","2026-07-17","RPC 读 EIP-1967 槽实测；代理溯源用","","","","2026-07-17","2026-07-17","",""
"0xe060c04359f13097c5047a6fb182b9976b95281f","bsc","four.meme TokenManager2 V2 实现合约（impl）","launchpad","exclude","manual-chainverify","2026-07-17","RPC 读 EIP-1967 槽实测","","","","2026-07-17","2026-07-17","",""
"0x0cc78251cfc0356b2b513a9ed97be1e33ecb43c8","bsc","four.meme Helper3 实现合约（impl）","launchpad","exclude","manual-chainverify","2026-07-17","RPC 读 EIP-1967 槽实测","","","","2026-07-17","2026-07-17","",""
"0x8b0185533313fcb4cb94e4c4d000b5c7b4def9b8","bsc","FlokiFi VaultFactory 第3代（现役）","locker","exclude","manual-chainverify","2026-07-17","BscScan verified 名 VaultFactory + 官方 api.flokifi.com vaultFactoryContract() 指向双源；vault 按 creator 归属此厂","","","","2026-07-17","2026-07-17","",""
"0x932a9e971f006d1db136cdb5819a5a4ba57cf97b","bsc","FlokiFi VaultFactory 第2代","locker","exclude","manual-chainverify","2026-07-17","BscScan verified 源文件 contracts/locker/VaultFactory.sol","","","","2026-07-17","2026-07-17","",""
"0xa8c7ce92d0e72dad37fd4ec690c269ed96c5476b","bsc","FlokiFi VaultFactory 第1代","locker","exclude","manual-chainverify","2026-07-17","BscScan verified 源文件同上；早期 20 笔","","","","2026-07-17","2026-07-17","",""
"0x1126c4dcFc8DEae728eb483c42eCd27E1d7D34E1","bsc","DxLock Token Lock 工厂（现役）","locker","exclude","manual-chainverify","2026-07-17","dx.app 官方前端 bundle BNB 配置 tokenDeployer（未验证合约，前端引用佐证）；1533 笔 tx","","","","2026-07-17","2026-07-17","",""
"0x983b00a2C3d8925cEDfC9f3eb5Df1aE121Ff6B9F","bsc","DxLock Token Lock 记录合约","locker","exclude","manual-chainverify","2026-07-17","dx.app 前端 BNB 配置 tokenstorage（未验证合约）","","","","2026-07-17","2026-07-17","",""
"0x180Ad8AFBa82d80c21bfdE40966567Fa45f6332F","bsc","DxLock V2 LP Lock 工厂（现役）","locker","exclude","manual-chainverify","2026-07-17","dx.app 前端 BNB 配置 lpDeployer；699 笔 tx；多链同址部署注意链别","","","","2026-07-17","2026-07-17","",""
"0xFEE2A3f4329e9A1828F46927bD424DB2C1624985","bsc","DxLock V2 LP Lock 记录合约","locker","exclude","manual-chainverify","2026-07-17","dx.app 前端 BNB 配置 lpstorage","","","","2026-07-17","2026-07-17","",""
"0xbD89d0488c587f6FD158F645543389Bcc473378E","bsc","DxLock V3 LP Lock 工厂","locker","exclude","manual-chainverify","2026-07-17","BscScan verified 名 DxLockLPV3DepLPFee + dx.app 前端 v3LpDeployer 双源","","","","2026-07-17","2026-07-17","",""
"0x87E07417bdA17Db14Afc5454659D332197361a84","bsc","DxLock V3 LP Lock 记录合约","locker","exclude","manual-chainverify","2026-07-17","dx.app 前端 v3LpStorage","","","","2026-07-17","2026-07-17","",""
"0xeb3a9c56d963b971d320f889be2fb8b59853e449","bsc","DxSale 老版 DxLock_LP（2022 被盗抽干·历史锁标签）","locker","exclude","manual-chainverify","2026-07-17","BscScan verified 源文件 contracts/DxLock_LP.sol；1.9 万笔 tx；现 $0（The Defiant 报道被盗 $7.3M）","","","","2026-07-17","2026-07-17","historical",""
"0x10b5f02956d242ab770605d59b7d27e51e45774c","bsc","GemPad Locker 主合约","locker","exclude","manual-chainverify","2026-07-17","BscScan verified 名 GempadLock + Etherscan 同址标签 GemPad Lock 双源；$7.26M 跨 3 链","","","","2026-07-17","2026-07-17","",""
"0x5e416ed4599b6ee0dc83389316b0e83829674476","bsc","GemPad 部署者 EOA","contract-deployer","identity","manual-chainverify","2026-07-17","BscScan 公共标签 GemPad: Deployer；getCode 无码 EOA","","","","2026-07-17","2026-07-17","",""
"0xAe7e6CAbad8d80f0b4E1C4DDE2a5dB7201eF1252","bsc","Mudra Locker 主合约","locker","exclude","manual-chainverify","2026-07-17","mudra.website 官方前端 JS 引用（未验证合约）+ Lock Tokens/Withdraw 方法名 + 20.6 万笔 tx 行为佐证","","","","2026-07-17","2026-07-17","",""
"0x5Bd1774063dA6836738fcAb9131E34AeadA4968f","bsc","Mudra 疑似 fee/运营 EOA（推断）","locker","identity","chain-inference","2026-07-17","非官方口径：Mudra locker 交易高频对手方（25/50）EOA 3.7 万笔 tx；收费通道特征；v4.2 起改禁边不剔仓（推断条目不得 exclude）","","no_merge","count","","2026-07-17","",""
"0x3f4d6bf08cb7a003488ef082102c2e6418a4551e","bsc","DeepLock Locker","locker","exclude","manual-chainverify","2026-07-17","BscScan verified 源文件 DeepLockLocker.sol；$2.67M 10.4 万笔 tx","","","","2026-07-17","2026-07-17","",""
"0xe0c3ab2c69d8b43d8b0d922afa224a0ab6780de1","bsc","CryptEx LP Locker","locker","exclude","manual-chainverify","2026-07-17","BscScan verified 源文件 contracts/CryptExLpTokenLocker.sol","","","","2026-07-17","2026-07-17","",""
"0xC765bddB93b0D1c1A88282BA0fa6B2d00E3e0c83","bsc","Unicrypt(UNCX) Pancake V2 Locker","locker","exclude","manual-chainverify","2026-07-17","BscScan verified 源文件 UniswapV2Locker.sol；1.6 万笔 tx $8.2 万余额","","","","2026-07-17","2026-07-17","",""
