"address","chain","name","category","tier","source","added_date","evidence","risk_flags","merge_policy","balance_policy","source_snapshot_at","verified_at","status","raw_labels"
"0xf70da97812cb96acdf810712aa562db8dfa3dbef","eth","Relay 桥 solver 热钱包 #1（供gas/代发/交付，假共同金主头号源）","bridge","exclude","curation","2026-07-17","api.relay.link/chains solverAddresses 字段官方 API 亲验 2026-07-17；getCode EOA亲验 2026-07-17","","","","","2026-07-17","",""
"0x663dc15d3c1ac63ff12e45ab68fea3f0a883c251","bsc","deBridge DeBridgeRouter","bridge","exclude","curation","2026-07-17","docs.debridge.com dln-details/deployed-contracts 表格逐字 2026-07-17；getCode 合约码len=4284 2026-07-17","","","","","2026-07-17","",""
"0xb92fe925dc43a0ecde6c8b1a2709c170ec4fff4f","bsc","Relay ERC20Router v3","bridge","exclude","curation","2026-07-17","docs.relay.link contract-addresses + API 双源 2026-07-17；getCode 合约码len=9442 2026-07-17","","","","","2026-07-17","",""
"0xe7351fd770a37282b91d153ee690b63579d6dd7f","bsc","deBridge DlnDestination（taker 履约出币）","bridge","exclude","curation","2026-07-17","docs.debridge.com dln-details/deployed-contracts 表格逐字 2026-07-17；getCode 合约码len=4226 2026-07-17","","","","","2026-07-17","","bridges_bnb"
"0xef4fb24ad0916217251f553c0596f8edc630eb66","bsc","deBridge DlnSource","bridge","exclude","curation","2026-07-17","docs.debridge.com dln-details/deployed-contracts 表格逐字 2026-07-17；getCode 合约码len=4226 2026-07-17","","","","","2026-07-17","",""
"0xf70da97812cb96acdf810712aa562db8dfa3dbef","bsc","Relay 桥 solver 热钱包 #1（供gas/代发/交付，假共同金主头号源）","bridge","exclude","curation","2026-07-17","api.relay.link/chains solverAddresses 字段官方 API 亲验 2026-07-17；getCode EOA亲验 2026-07-17","","","","","2026-07-17","",""
"0x09aea4b2242abc8bb4bb78d537a67a245a7bec64","base","Across 桥 SpokePool（relayer fill 出币方）","bridge","exclude","curation","2026-07-17","across-protocol/contracts broadcast/deployed-addresses.json 权威表+docs 双源 2026-07-17；getCode 合约码len=1362 2026-07-17","","","","","2026-07-17","","bridges_base"
"0xf70da97812cb96acdf810712aa562db8dfa3dbef","base","Relay 桥 solver 热钱包 #1（供gas/代发/交付，假共同金主头号源）","bridge","exclude","curation","2026-07-17","api.relay.link/chains solverAddresses 字段官方 API 亲验 2026-07-17；getCode EOA亲验 2026-07-17","","","","","2026-07-17","",""
"0xf70da97812cb96acdf810712aa562db8dfa3dbef","robinhood","Relay 桥 solver 热钱包 #1（供gas/代发/交付，假共同金主头号源）","bridge","exclude","curation","2026-07-17","api.relay.link/chains solverAddresses 字段官方 API 亲验 2026-07-17；getCode EOA亲验 2026-07-17","","","","","2026-07-17","",""
"0x56c262027e0de4aea31d2489529cb25d23e58a8b","robinhood","Relay 桥 solver 热钱包 #3（供gas/代发/交付，假共同金主头号源）","bridge","exclude","curation","2026-07-17","api.relay.link/chains solverAddresses 字段官方 API 亲验 2026-07-17；getCode EOA亲验 2026-07-17","","","","","2026-07-17","",""
"0xa67d7eb4dc68fa6ce8e34ef8cadaf075b9893fbb","robinhood","Relay 桥 solver 热钱包 #2（供gas/代发/交付，假共同金主头号源）","bridge","exclude","curation","2026-07-17","api.relay.link/chains solverAddresses 字段官方 API 亲验 2026-07-17；getCode EOA亲验 2026-07-17","","","","","2026-07-17","",""
"0xabb2acd3be814a80e502575d6c1dc5f789e9cd10","robinhood","Relay 桥 solver 热钱包 #4（供gas/代发/交付，假共同金主头号源）","bridge","exclude","curation","2026-07-17","api.relay.link/chains solverAddresses 字段官方 API 亲验 2026-07-17；getCode EOA亲验 2026-07-17","","","","","2026-07-17","",""
