address,chain,name,category,tier,source,added_date,evidence,risk_flags,merge_policy,balance_policy,source_snapshot_at,verified_at,status,raw_labels
0xcded3bb9d2dc98f6e4e772095b48051acfb84df9,eth,KuCoin: KuCoin 56,cex,exclude,dune-cex-addresses,2025-06-14,Dune cex.addresses 快照 2026-08-12; 现库差集回填,,,,2026-08-12,,,
0x7884f51dc1410387371ce61747cb6264e1daee0b,base,Binance: Binance DOT Proof of Assets,cex,exclude,dune-cex-addresses,2022-11-14,Dune cex.addresses 快照 2026-08-12; 现库差集回填,,,,2026-08-12,,,
0xdd276dc5223d0120f9bf1776f38957cc8da23cb0,base,KuCoin: KuCoin 61,cex,exclude,dune-cex-addresses,2025-07-31,Dune cex.addresses 快照 2026-08-12; 现库差集回填,,,,2026-08-12,,,
0x70213959a644baa94840bbfb4129550bceceb3c2,base,Bitget: Bitget 30,cex,exclude,dune-cex-addresses,2025-06-27,Dune cex.addresses 快照 2026-08-12; 现库差集回填,,,,2026-08-12,,,
0x4d216d2682f3997f6c19420beee4530d08d0ea5f,base,Bitget: Bitget 31,cex,exclude,dune-cex-addresses,2025-06-27,Dune cex.addresses 快照 2026-08-12; 现库差集回填,,,,2026-08-12,,,
0xd4039ecc40aeda0582036437cf3ec02845da4c13,base,Kraken: Kraken ETH Staking 1,cex,exclude,dune-cex-addresses,2023-11-20,Dune cex.addresses 快照 2026-08-12; 现库差集回填,,,,2026-08-12,,,
0x731309e453972598ea05d706c6ee6c3c21ab4d2a,base,Bitget: Bitget 12,cex,exclude,dune-cex-addresses,2024-04-20,Dune cex.addresses 快照 2026-08-12; 现库差集回填,,,,2026-08-12,,,
0x0316eb71485b0ab14103307bf65a021042c6d380,base,HTX: HTX 57,cex,exclude,dune-cex-addresses,2024-04-20,Dune cex.addresses 快照 2026-08-12; 现库差集回填,,,,2026-08-12,,,
0x4dfc15890972ecea7a213bda2b478dabc382e7a1,base,Bitget: Bitget 10,cex,exclude,dune-cex-addresses,2024-04-20,Dune cex.addresses 快照 2026-08-12; 现库差集回填,,,,2026-08-12,,,
0xafdfd157d9361e621e476036fee62f688450692b,base,HTX: HTX 70,cex,exclude,dune-cex-addresses,2024-04-20,Dune cex.addresses 快照 2026-08-12; 现库差集回填,,,,2026-08-12,,,
0xfa52274dd61e1643d2205169732f29114bc240b3,base,Kraken: Kraken 5,cex,exclude,dune-cex-addresses,2022-08-28,Dune cex.addresses 快照 2026-08-12; 现库差集回填,,,,2026-08-12,,,
0x31a36512d4903635b7dd6828a934c3915a5809be,base,Bitget: Bitget 3,cex,exclude,dune-cex-addresses,2023-04-06,Dune cex.addresses 快照 2026-08-12; 现库差集回填,,,,2026-08-12,,,
