"address","chain","name","category","tier","source","added_date","evidence","risk_flags","merge_policy","balance_policy","source_snapshot_at","verified_at","status","raw_labels"
"0xbdfa4f4492dd7b7cf211209c4791af8d52bf5c50","eth","bizyugo.hl (@bizyugo) [kol]","kol","identity","manual-recovered+gmgn","2026-07-17","gmgn tags:kol","","","","2026-07-17","","",""
"0x60289ad360193c9aa557a7f66409ff4cc4126692","robinhood","惯犯庄家（TRASH案·庄#1·拍卖集团第19址·集团财务钱包）","serial-actor","identity","serial-offenders","2026-07-17","TRASH 07-17增量更新 appendix whale_group「庄#1」（对抗复核并入:最大拍卖户gas金主6笔8.7ETH+发射日9次同秒镜像交易）","serial-offender","","","","","",""
"0x00034187c8d0d887821587573586f75624c5e111","robinhood","协同建仓组（TRASH案·vanity九胞胎族）","serial-actor","identity","serial-offenders","2026-07-17","TRASH 07-17增量更新 appendix group「vanity九胞胎族」（两轮同秒等差建仓+gas树互资、合并3.69%贴线分仓）","serial-offender","","","","","",""
"0x00077705952c90b728c6d7dc450beb4429331111","robinhood","协同建仓组（TRASH案·vanity九胞胎族）","serial-actor","identity","serial-offenders","2026-07-17","TRASH 07-17增量更新 appendix group「vanity九胞胎族」","serial-offender","","","","","",""
"0xce5b85c11047d74e63108e448ba7df5b188f3bad","robinhood","协同建仓组（TRASH案·vanity九胞胎族）","serial-actor","identity","serial-offenders","2026-07-17","TRASH 07-17增量更新 appendix group「vanity九胞胎族」","serial-offender","","","","","",""
"0x000461a73d3985eef4923655782aa5d0de75c111","robinhood","协同建仓组（TRASH案·vanity九胞胎族）","serial-actor","identity","serial-offenders","2026-07-17","TRASH 07-17增量更新 appendix group「vanity九胞胎族」","serial-offender","","","","","",""
"0x45004af18692aac16840c807d8980ad215d58dad","robinhood","协同建仓组（TRASH案·vanity九胞胎族）","serial-actor","identity","serial-offenders","2026-07-17","TRASH 07-17增量更新 appendix group「vanity九胞胎族」","serial-offender","","","","","",""
"0x000ae1e2ba3624208300605d7919d6c4803c6111","robinhood","协同建仓组（TRASH案·vanity九胞胎族）","serial-actor","identity","serial-offenders","2026-07-17","TRASH 07-17增量更新 appendix group「vanity九胞胎族」","serial-offender","","","","","",""
"0x022d8f6eaf3f4442da060437d2c912b809112bd7","robinhood","协同建仓组（TRASH案·vanity九胞胎族）","serial-actor","identity","serial-offenders","2026-07-17","TRASH 07-17增量更新 appendix group「vanity九胞胎族」","serial-offender","","","","","",""
"0x0d8d6c105629e472691f9a970a6f70899195b5e0","robinhood","协同建仓组（TRASH案·vanity九胞胎族）","serial-actor","identity","serial-offenders","2026-07-17","TRASH 07-17增量更新 appendix group「vanity九胞胎族」","serial-offender","","","","","",""
"0x0006d09df7b0e8dce98463b95439475fcec29111","robinhood","协同建仓组（TRASH案·vanity九胞胎族）","serial-actor","identity","serial-offenders","2026-07-17","TRASH 07-17增量更新 appendix group「vanity九胞胎族」","serial-offender","","","","","",""
"0x5fff38f51dfd8696899a12acbdae56f4c9f530b5","robinhood","协同组关联工具（TRASH案·私有dust源、触达vanity族+矩阵族）","serial-actor","identity","serial-offenders","2026-07-17","TRASH 07-17增量更新（全链143笔私有dust工具、发射前5天同批触达两协同族——跨族并体疑点核心）","serial-offender","","","","","",""
"0xd5ff53f48f14e9409b581e41a4cddfe0e97dc724","robinhood","协同建仓组（TRASH案·d5ff网·资金树根）","serial-actor","identity","serial-offenders","2026-07-17","TRASH 07-17增量更新 appendix group「d5ff网」（币流+gas双重边5址网络、合并2.61%）","serial-offender","","","","","",""
"0x720d53592028cd1f58fa6aee7bf6d62eeae195bd","robinhood","协同建仓组（TRASH案·d5ff网·归集注资器）","serial-actor","identity","serial-offenders","2026-07-17","TRASH 07-17增量更新 appendix group「d5ff网」","serial-offender","","","","","",""
"0xb988681d5aeab116ee3d3dae2319e3bc4dd5a0b0","robinhood","协同建仓组（TRASH案·d5ff网·仓位A）","serial-actor","identity","serial-offenders","2026-07-17","TRASH 07-17增量更新 appendix group「d5ff网」","serial-offender","","","","","",""
"0x8c8f4aac2674ca967974f319bebe49342623b787","robinhood","协同建仓组（TRASH案·d5ff网·仓位B）","serial-actor","identity","serial-offenders","2026-07-17","TRASH 07-17增量更新 appendix group「d5ff网」","serial-offender","","","","","",""
"0x9963597a9246b39b13330992f571f8378c18c262","robinhood","协同建仓组（TRASH案·996网·主仓）","serial-actor","identity","serial-offenders","2026-07-17","TRASH 07-17增量更新 appendix group「996网」（同秒交错买+同秒归集+gas闭环、封闭自循环6址组）","serial-offender","","","","","",""
"0xafa0adb782345aaa73d9341f6b5c0da0afcedec6","robinhood","协同建仓组（TRASH案·996网·归集器）","serial-actor","identity","serial-offenders","2026-07-17","TRASH 07-17增量更新 appendix group「996网」","serial-offender","","","","","",""
"0xdbb8254ed9d90d92810f674adf5ab683fc89d3e0","robinhood","协同建仓组（TRASH案·996网·买手1）","serial-actor","identity","serial-offenders","2026-07-17","TRASH 07-17增量更新 appendix group「996网」","serial-offender","","","","","",""
"0x3dbd530e3f75fdec00e013e26bbf95ed40b7e5c2","robinhood","协同建仓组（TRASH案·996网·买手2）","serial-actor","identity","serial-offenders","2026-07-17","TRASH 07-17增量更新 appendix group「996网」","serial-offender","","","","","",""
"0xb8f8bc74215acae40aaac6d0b1621a72ffda8f44","robinhood","协同建仓组（TRASH案·996网·自循环出资位1）","serial-actor","identity","serial-offenders","2026-07-17","TRASH 07-17增量更新 appendix group「996网」","serial-offender","","","","","",""
"0x275c838990c5c74ea5abc331199d42121a3e648a","robinhood","协同建仓组（TRASH案·996网·自循环出资位2）","serial-actor","identity","serial-offenders","2026-07-17","TRASH 07-17增量更新 appendix group「996网」","serial-offender","","","","","",""
