"address","chain","name","category","tier","source","added_date","evidence","risk_flags","merge_policy","balance_policy","source_snapshot_at","verified_at","status","raw_labels"
"0x017062a1de2fe6b99be3d9d37841fed19f573804","base","Safe v1.3.0 CompatibilityFallbackHandler（eip155 部署）","infra","exclude","registry-official","2026-07-17","safe-global/safe-deployments 官方 registry + getCode 亲验 2026-07-17；Safe 官方部署家族","","","","2026-07-17","2026-07-17","",""
"0x29fcb43b46531bca003ddc8fcb67ffe91900c762","base","Safe v1.4.1 SafeL2（canonical 部署）","infra","exclude","registry-official","2026-07-17","safe-global/safe-deployments 官方 registry + getCode 亲验 2026-07-17；Safe 官方部署家族","","","","2026-07-17","2026-07-17","",""
"0x38869bf66a61cf6bdb996a6ae40d5853fd43b526","base","Safe v1.4.1 MultiSend（canonical 部署）","infra","exclude","registry-official","2026-07-17","safe-global/safe-deployments 官方 registry + getCode 亲验 2026-07-17；MultiSend=批量分发通道（缝假集群高危）","","","","2026-07-17","2026-07-17","",""
"0x3e5c63644e683549055b9be8653de26e0b4cd36e","base","Safe v1.3.0 GnosisSafeL2（canonical 部署）","infra","exclude","registry-official","2026-07-17","safe-global/safe-deployments 官方 registry + getCode 亲验 2026-07-17；Safe 官方部署家族","","","","2026-07-17","2026-07-17","",""
"0x40a2accbd92bca938b02010e17a5b8929b49130d","base","Safe v1.3.0 MultiSendCallOnly（canonical 部署）","infra","exclude","registry-official","2026-07-17","safe-global/safe-deployments 官方 registry + getCode 亲验 2026-07-17；MultiSend=批量分发通道（缝假集群高危）","","","","2026-07-17","2026-07-17","",""
"0x41675c099f32341bf84bfc5382af534df5c7461a","base","Safe v1.4.1 Safe（canonical 部署）","infra","exclude","registry-official","2026-07-17","safe-global/safe-deployments 官方 registry + getCode 亲验 2026-07-17；Safe 官方部署家族","","","","2026-07-17","2026-07-17","",""
"0x4e1dcf7ad4e460cfd30791ccc4f9c8a4f820ec67","base","Safe v1.4.1 SafeProxyFactory（canonical 部署）","infra","exclude","registry-official","2026-07-17","safe-global/safe-deployments 官方 registry + getCode 亲验 2026-07-17；Safe 官方部署家族","","","","2026-07-17","2026-07-17","",""
"0x69f4d1788e39c87893c980c06edf4b7f686e2938","base","Safe v1.3.0 GnosisSafe（eip155 部署）","infra","exclude","registry-official","2026-07-17","safe-global/safe-deployments 官方 registry + getCode 亲验 2026-07-17；Safe 官方部署家族","","","","2026-07-17","2026-07-17","",""
"0x7cbb62eaa69f79e6873cd1ecb2392971036cfaa4","base","Safe v1.3.0 CreateCall（canonical 部署）","infra","exclude","registry-official","2026-07-17","safe-global/safe-deployments 官方 registry + getCode 亲验 2026-07-17；Safe 官方部署家族","","","","2026-07-17","2026-07-17","",""
"0x9641d764fc13c8b624c04430c7356c1c7c8102e2","base","Safe v1.4.1 MultiSendCallOnly（canonical 部署）","infra","exclude","registry-official","2026-07-17","safe-global/safe-deployments 官方 registry + getCode 亲验 2026-07-17；MultiSend=批量分发通道（缝假集群高危）","","","","2026-07-17","2026-07-17","",""
"0x98ffbbf51bb33a056b08ddf711f289936aaff717","base","Safe v1.3.0 SignMessageLib（eip155 部署）","infra","exclude","registry-official","2026-07-17","safe-global/safe-deployments 官方 registry + getCode 亲验 2026-07-17；Safe 官方部署家族","","","","2026-07-17","2026-07-17","",""
"0x998739bfdaadde7c933b942a68053933098f9eda","base","Safe v1.3.0 MultiSend（eip155 部署）","infra","exclude","registry-official","2026-07-17","safe-global/safe-deployments 官方 registry + getCode 亲验 2026-07-17；MultiSend=批量分发通道（缝假集群高危）","","","","2026-07-17","2026-07-17","",""
"0x9b35af71d77eaf8d7e40252370304687390a1a52","base","Safe v1.4.1 CreateCall（canonical 部署）","infra","exclude","registry-official","2026-07-17","safe-global/safe-deployments 官方 registry + getCode 亲验 2026-07-17；Safe 官方部署家族","","","","2026-07-17","2026-07-17","",""
"0xa1dabef33b3b82c7814b6d82a79e50f4ac44102b","base","Safe v1.3.0 MultiSendCallOnly（eip155 部署）","infra","exclude","registry-official","2026-07-17","safe-global/safe-deployments 官方 registry + getCode 亲验 2026-07-17；MultiSend=批量分发通道（缝假集群高危）","","","","2026-07-17","2026-07-17","",""
"0xa238cbeb142c10ef7ad8442c6d1f9e89e07e7761","base","Safe v1.3.0 MultiSend（canonical 部署）","infra","exclude","registry-official","2026-07-17","safe-global/safe-deployments 官方 registry + getCode 亲验 2026-07-17；MultiSend=批量分发通道（缝假集群高危）","","","","2026-07-17","2026-07-17","",""
"0xa65387f16b013cf2af4605ad8aa5ec25a2cba3a2","base","Safe v1.3.0 SignMessageLib（canonical 部署）","infra","exclude","registry-official","2026-07-17","safe-global/safe-deployments 官方 registry + getCode 亲验 2026-07-17；Safe 官方部署家族","","","","2026-07-17","2026-07-17","",""
"0xa6b71e26c5e0845f74c812102ca7114b6a896ab2","base","Safe v1.3.0 GnosisSafeProxyFactory（canonical 部署）","infra","exclude","registry-official","2026-07-17","safe-global/safe-deployments 官方 registry + getCode 亲验 2026-07-17；Safe 官方部署家族","","","","2026-07-17","2026-07-17","",""
"0xb19d6ffc2182150f8eb585b79d4abcd7c5640a9d","base","Safe v1.3.0 CreateCall（eip155 部署）","infra","exclude","registry-official","2026-07-17","safe-global/safe-deployments 官方 registry + getCode 亲验 2026-07-17；Safe 官方部署家族","","","","2026-07-17","2026-07-17","",""
"0xc22834581ebc8527d974f8a1c97e1bea4ef910bc","base","Safe v1.3.0 GnosisSafeProxyFactory（eip155 部署）","infra","exclude","registry-official","2026-07-17","safe-global/safe-deployments 官方 registry + getCode 亲验 2026-07-17；Safe 官方部署家族","","","","2026-07-17","2026-07-17","",""
