address,chain,name,category,tier,source,added_date,evidence,risk_flags,merge_policy,balance_policy,source_snapshot_at,verified_at,status,raw_labels
0x07fa79c3b8068b715b88553f6242dfb53c03249a,base,惯犯庄家（PING案·狙击集团）,serial-actor,identity,serial-offenders,2026-07-26,PING分析 appendix whale_group「狙击集团」,serial-offender,,,2026-07-17,2026-07-26,,
0x57cff09ea485ee9863c95a1f13bee9c8f481aeee,base,惯犯庄家（jesse案·狙击集团#5）,serial-actor,identity,serial-offenders,2026-07-26,jesse appendix whale_group「狙击集团#5」,serial-offender,,,2026-07-18,2026-07-26,,
0x625c271188742191a33f9aa48ecbe3d653e74150,base,惯犯庄家（jesse案·狙击集团#2）,serial-actor,identity,serial-offenders,2026-07-26,jesse appendix whale_group「狙击集团#2」,serial-offender,,,2026-07-18,2026-07-26,,
0x7b229dfab5dc7de384ac3cdf0c7efca961fc15de,base,惯犯庄家（jesse案·狙击集团#3）,serial-actor,identity,serial-offenders,2026-07-26,jesse appendix whale_group「狙击集团#3」,serial-offender,,,2026-07-18,2026-07-26,,
0x7d67c78efbbf7af121880739d7de86834001070d,base,惯犯庄家（PING案·小庄#1）,serial-actor,identity,serial-offenders,2026-07-26,PING分析 appendix whale_group「小庄#1」,serial-offender,,,2026-07-17,2026-07-26,,
0x7e9be88baefc5d6b7d56370f5703045a1247c695,base,惯犯庄家（PING案·小庄#1）,serial-actor,identity,serial-offenders,2026-07-26,PING分析 appendix whale_group「小庄#1」,serial-offender,,,2026-07-17,2026-07-26,,
0x7f24d29a29649f76773389e11c9b40afa37d9eed,base,惯犯庄家（jesse案·狙击集团#3）,serial-actor,identity,serial-offenders,2026-07-26,jesse appendix whale_group「狙击集团#3」,serial-offender,,,2026-07-18,2026-07-26,,
0x8466f2aa896b1c0ef34a7aeb93f78bfc2e80dfdd,base,惯犯庄家（jesse案·狙击集团#4）,serial-actor,identity,serial-offenders,2026-07-26,jesse appendix whale_group「狙击集团#4」,serial-offender,,,2026-07-18,2026-07-26,,
0x9572cbe40ff2ed3dd1a4c0fa1c4a89bae0decccb,base,惯犯庄家（jesse案·狙击集团#2）,serial-actor,identity,serial-offenders,2026-07-26,jesse appendix whale_group「狙击集团#2」,serial-offender,,,2026-07-18,2026-07-26,,
0x9f59fa05a4ad952ba90b101555fb5e2709c9d8bb,base,惯犯庄家（jesse案·狙击集团#1）,serial-actor,identity,serial-offenders,2026-07-26,jesse appendix whale_group「狙击集团#1」,serial-offender,,,2026-07-18,2026-07-26,,
0xac01842418c29e0041e17d179bafda759af9c3eb,base,惯犯庄家（jesse案·狙击集团#5）,serial-actor,identity,serial-offenders,2026-07-26,jesse appendix whale_group「狙击集团#5」,serial-offender,,,2026-07-18,2026-07-26,,
0xb1023928d0a4e2cada021574c7da5d390ae82251,base,惯犯庄家（jesse案·狙击集团#2）,serial-actor,identity,serial-offenders,2026-07-26,jesse appendix whale_group「狙击集团#2」,serial-offender,,,2026-07-18,2026-07-26,,
0xb10caf05b0a7677061dcb4cbcfb70c8508519023,base,惯犯庄家（jesse案·狙击集团#4）,serial-actor,identity,serial-offenders,2026-07-26,jesse appendix whale_group「狙击集团#4」,serial-offender,,,2026-07-18,2026-07-26,,
0xb416b68b317fb4dac6fc36b1c52e5efdf0610b91,base,惯犯庄家（jesse案·狙击集团#5）,serial-actor,identity,serial-offenders,2026-07-26,jesse appendix whale_group「狙击集团#5」,serial-offender,,,2026-07-18,2026-07-26,,
0xeee3d4a14759e91af3f95011e3840fd7f6f88dcb,base,惯犯庄家（jesse案·狙击集团#4）,serial-actor,identity,serial-offenders,2026-07-26,jesse appendix whale_group「狙击集团#4」,serial-offender,,,2026-07-18,2026-07-26,,
0xf6e39aa00ab607bd48cd82e77a91ed7c27d35745,base,惯犯庄家（jesse案·狙击集团#5）,serial-actor,identity,serial-offenders,2026-07-26,jesse appendix whale_group「狙击集团#5」,serial-offender,,,2026-07-18,2026-07-26,,
0xf7e6a4f99118f5c0bb67fe0fc631dbe944dcf197,base,惯犯庄家（jesse案·狙击集团#5）,serial-actor,identity,serial-offenders,2026-07-26,jesse appendix whale_group「狙击集团#5」,serial-offender,,,2026-07-18,2026-07-26,,
0x0060fabcb822a85ba5db8fbfb91b8d1c73c72253,bsc,惯犯庄家（SIREN案·离场庄#1·核心链）,serial-actor,identity,serial-offenders,2026-07-26,SIREN分析2026-07-19 appendix whale_group「离场庄#1·核心链」,serial-offender,,,2026-07-19,2026-07-26,,
0x008c4349aff924ace15967f6a2ae30e6b816a186,bsc,惯犯庄家（SIREN案·离场庄#1·核心链）,serial-actor,identity,serial-offenders,2026-07-26,SIREN分析2026-07-19 appendix whale_group「离场庄#1·核心链」,serial-offender,,,2026-07-19,2026-07-26,,
0x00ef4a342ce54df858af54299074c14b52dbb5a9,bsc,惯犯庄家（SIREN案·离场庄#1·核心链）,serial-actor,identity,serial-offenders,2026-07-26,SIREN分析2026-07-19 appendix whale_group「离场庄#1·核心链」,serial-offender,,,2026-07-19,2026-07-26,,
0x00f29e92ce7d93a10a5ec097fedf0c52d17e277d,bsc,惯犯庄家（SIREN案·离场庄#1·核心链）,serial-actor,identity,serial-offenders,2026-07-26,SIREN分析2026-07-19 appendix whale_group「离场庄#1·核心链」,serial-offender,,,2026-07-19,2026-07-26,,
0x013280327f9261f11fc0ff40c50374333fb55508,bsc,惯犯庄家（SIREN案·离场庄#1·核心链）,serial-actor,identity,serial-offenders,2026-07-26,SIREN分析2026-07-19 appendix whale_group「离场庄#1·核心链」,serial-offender,,,2026-07-19,2026-07-26,,
0x01351906fece911fb75c1128b766e123ad83bfc3,bsc,惯犯庄家（SIREN案·离场庄#1·核心链）,serial-actor,identity,serial-offenders,2026-07-26,SIREN分析2026-07-19 appendix whale_group「离场庄#1·核心链」,serial-offender,,,2026-07-19,2026-07-26,,
0x014161dba23dbc8dc978efabab19dbe47b187482,bsc,惯犯庄家（B案·小庄#1）,serial-actor,identity,serial-offenders,2026-07-26,BUILD分析 appendix whale_group「小庄#1」,serial-offender,,,2026-07-25,2026-07-26,,
0x015cf312e457a9e3c4ec8654749aa7cb0242611a,bsc,惯犯庄家（QUQ案·大庄#1(strict四址EOA接力库存核心)）,serial-actor,identity,serial-offenders,2026-07-26,QUQ分析 appendix whale_group「大庄#1(strict四址EOA接力库存核心)」,serial-offender,,,2026-07-22,2026-07-26,,
0x01758290ba77ba04bd2b5e806ac4338af072d246,bsc,惯犯庄家（SIREN案·离场庄#1·核心链）,serial-actor,identity,serial-offenders,2026-07-26,SIREN分析2026-07-19 appendix whale_group「离场庄#1·核心链」,serial-offender,,,2026-07-19,2026-07-26,,
0x01788a10434b79272cc2aba1ab825411561df508,bsc,惯犯庄家（B案·小庄#1）,serial-actor,identity,serial-offenders,2026-07-26,BUILD分析 appendix whale_group「小庄#1」,serial-offender,,,2026-07-25,2026-07-26,,
0x01a3787bcfa8cd7a207e9c986fa61c2d239b4e6b,bsc,惯犯庄家（SIREN案·离场庄#1·核心链）,serial-actor,identity,serial-offenders,2026-07-26,SIREN分析2026-07-19 appendix whale_group「离场庄#1·核心链」,serial-offender,,,2026-07-19,2026-07-26,,
