address,chain,name,category,tier,source,added_date,evidence,risk_flags,merge_policy,balance_policy,source_snapshot_at,verified_at,status,raw_labels
ASTyfSima4LLAdDgoFGkgqoKowG1LZFDr9fAQrg7iaJZ,sol,MEXC 热钱包 1（老主力）,cex,exclude,manual-chainverify,2026-07-17,spellbook+GMGN holders name=MEXC 七币 top100 复现；2026-07-17 链上核验账户在,,,,2026-07-17,2026-07-17,,
5PAhQiYdLBd6SVdjzBQDxUAEFyDdF5ExNPQfcscnPRj5,sol,MEXC 热钱包 2（当前主力）,cex,exclude,manual-chainverify,2026-07-17,GMGN name=MEXC 十币 top100 全出现；2026-07-17 链上核验余额 40.2 万 SOL,,,,2026-07-17,2026-07-17,,
A77HErqtfN1hLLpvZ9pCtu66FEtM8BveoaKbbMoZ4RiR,sol,Bitget 主热钱包,cex,exclude,manual-chainverify,2026-07-17,三源：spellbook+DefiLlama bitget adapter 首位+GMGN name=Bitget；链上核验在,,,,2026-07-17,2026-07-17,,
3bLkLrRvkwHMrqyoCaDSCn6bZnpfJCVsHxcmznUwB1p5,sol,Bitget 储备钱包 2,cex,exclude,defillama-por,2026-07-17,Bitget 向 DefiLlama CEX 透明度面板自报储备地址（C 级）；链上核验在,,,,2026-07-17,2026-07-17,,
42zAGwv37eZFwwcExfCAV9oSw2kNQX3aBxsbM6zvQECM,sol,Bitget 储备钱包 3,cex,exclude,defillama-por,2026-07-17,DefiLlama bitget adapter solana.owners（C 级）；链上核验在,,,,2026-07-17,2026-07-17,,
YiZeibU6zzEHyKiSTjygXUPkMktKj9a3DCAcWmZ4XjF,sol,Bitget 储备钱包 4,cex,exclude,defillama-por,2026-07-17,DefiLlama bitget adapter solana.owners（C 级）；链上核验在,,,,2026-07-17,2026-07-17,,
AvLGED7RBzYv4AuvkgFSCFMqyB2WjUff7TVKVEv5MjMs,sol,Bitget 储备钱包 5,cex,exclude,defillama-por,2026-07-17,DefiLlama bitget adapter solana.owners（C 级）；链上核验在,,,,2026-07-17,2026-07-17,,
48Zo7g9SReCWmNtCvr2es4H9CLCRQHrSND2Wzi61sCsQ,sol,Bitget 储备钱包 6,cex,exclude,defillama-por,2026-07-17,DefiLlama bitget adapter solana.owners（C 级）；链上核验在,,,,2026-07-17,2026-07-17,,
57WSBnNTC2MaqpY6NWLdNjhrELced4jSGV2hLSpjzct9,sol,Bitget 储备钱包 7,cex,exclude,defillama-por,2026-07-17,DefiLlama bitget adapter solana.owners（C 级）；链上核验在,,,,2026-07-17,2026-07-17,,
DP1FqoBnE23QNNz4LpT9FCQvETdJN4nph5c11NiinrGg,sol,Bitget 储备钱包 8,cex,exclude,defillama-por,2026-07-17,DefiLlama bitget adapter solana.owners（C 级）；链上核验在,,,,2026-07-17,2026-07-17,,
AyhsmFptkM251V1AoH2gf8d4QUnxUkkmaDqFfFwBwGni,sol,Bitget 储备钱包 9,cex,exclude,defillama-por,2026-07-17,DefiLlama bitget adapter solana.owners（C 级）；链上核验在,,,,2026-07-17,2026-07-17,,
4S8C1yrRZmJYPzCqzEVjZYf6qCYWFoF7hWLRzssTCotX,sol,Bitget 储备钱包 10,cex,exclude,defillama-por,2026-07-17,DefiLlama bitget adapter solana.owners（C 级）；链上核验在,,,,2026-07-17,2026-07-17,,
7TWnq4WeYcwQWBCwKeEX2Q9xqVtthPGkB7adNvueuVuh,sol,Bitget 储备钱包 11,cex,exclude,defillama-por,2026-07-17,DefiLlama bitget adapter solana.owners（C 级）；链上核验在,,,,2026-07-17,2026-07-17,,
EPxGiguU5j5tKFnMQpzMrzczEQ5NRtLWrpG9fADvtadX,sol,Bitget 储备钱包 12,cex,exclude,defillama-por,2026-07-17,DefiLlama bitget adapter solana.owners（C 级）；链上核验在,,,,2026-07-17,2026-07-17,,
8ZPaybdHeNwpoxmU1ALcbLoE3eK443Jq4emk82VCscag,sol,Bitget 储备钱包 13,cex,exclude,defillama-por,2026-07-17,DefiLlama bitget adapter solana.owners（C 级）；链上核验在,,,,2026-07-17,2026-07-17,,
AC5RDfQFmDS1deWZos921JfqscXdByf8BKHs5ACWjtW2,sol,Bybit 热钱包,cex,exclude,manual-chainverify,2026-07-17,Solscan title=Bybit Hot Wallet（Google 索引）+spellbook 双源；链上核验在,,,,2026-07-17,2026-07-17,,
42brAgAVNzMBP7aaktPvAmBSPEkehnFQejiZc53EpJFd,sol,Bybit 冷钱包,cex,exclude,manual-chainverify,2026-07-17,GMGN name=Bybit Cold Wallet+spellbook 双源；链上核验在,,,,2026-07-17,2026-07-17,,
u6PJ8DtQuPFnfmwHbGFULQ4u4EgjDiyYKjVEsynXq2w,sol,Gate.io 主热钱包,cex,exclude,manual-chainverify,2026-07-17,四源：Solscan title+spellbook+DefiLlama+GMGN 十币 top100；链上核验余额 21.9 万 SOL,,,,2026-07-17,2026-07-17,,
HiRpdAZifEsZGdzQ5Xo5wcnaH3D2Jj9SoNsUzcYNK78J,sol,Gate.io 热钱包 2,cex,exclude,manual-chainverify,2026-07-17,spellbook+DefiLlama 双源；链上核验在,,,,2026-07-17,2026-07-17,,
G9XFfWz6adb9wFDKN2v7HfmJDgAc2hirrTwBmca4w26C,sol,Gate.io 储备钱包 3,cex,exclude,defillama-por,2026-07-17,DefiLlama gate-io adapter solana.owners（C 级）；链上核验在,,,,2026-07-17,2026-07-17,,
Egf5D8NKBivJavLKmCssE93J7X6fKvEPQwFTWLZUnaSN,sol,Gate.io 储备钱包 4,cex,exclude,defillama-por,2026-07-17,DefiLlama gate-io adapter solana.owners（C 级）；链上核验在,,,,2026-07-17,2026-07-17,,
C68a6RCGLiPskbPYtAcsCjhG8tfTWYcoB4JjCrXFdqyo,sol,OKX 热钱包（GMGN 标注）,cex,exclude,manual-chainverify,2026-07-17,GMGN name=OKX: Hot Wallet 四币 top100；不在 spellbook 33 条内；链上核验在,,,,2026-07-17,2026-07-17,,
is6MTRHEgyFLNTfYcuV4QBWLjrZBfmhVNYR6ccgr8KV,sol,OKX 热钱包 2（Solscan 标注）,cex,exclude,manual-chainverify,2026-07-17,Solscan title=OKX: Hot Wallet（Google 索引）；链上核验在,,,,2026-07-17,2026-07-17,,
