"address","chain","name","category","tier","source","added_date","evidence","risk_flags","merge_policy","balance_policy","source_snapshot_at","verified_at","status","raw_labels"
"0xf70da97812cb96acdf810712aa562db8dfa3dbef","eth","Relay 桥 solver 热钱包 #1（供gas/代发/交付，假共同金主头号源）","bridge","exclude","registry-official","2026-07-17","api.relay.link/chains solverAddresses 字段官方 API 亲验 2026-07-17；getCode EOA亲验 2026-07-17","","","","2026-07-17","2026-07-17","",""
"0x56c262027e0de4aea31d2489529cb25d23e58a8b","eth","Relay 桥 solver 热钱包 #2（供gas/代发/交付，假共同金主头号源）","bridge","exclude","registry-official","2026-07-17","api.relay.link/chains solverAddresses 字段官方 API 亲验 2026-07-17；getCode EOA亲验 2026-07-17","","","","2026-07-17","2026-07-17","",""
"0xabb2acd3be814a80e502575d6c1dc5f789e9cd10","eth","Relay 桥 solver 热钱包 #3（供gas/代发/交付，假共同金主头号源）","bridge","exclude","registry-official","2026-07-17","api.relay.link/chains solverAddresses 字段官方 API 亲验 2026-07-17；getCode EOA亲验 2026-07-17","","","","2026-07-17","2026-07-17","",""
"0xa67d7eb4dc68fa6ce8e34ef8cadaf075b9893fbb","eth","Relay 桥 solver 热钱包 #4（供gas/代发/交付，假共同金主头号源）","bridge","exclude","registry-official","2026-07-17","api.relay.link/chains solverAddresses 字段官方 API 亲验 2026-07-17；getCode EOA亲验 2026-07-17","","","","2026-07-17","2026-07-17","",""
"0xada5bb90d0de0bd1b6f3938708f49295a8d1f7cb","eth","Relay 桥 solver 热钱包 #5（供gas/代发/交付，假共同金主头号源）","bridge","exclude","registry-official","2026-07-17","api.relay.link/chains solverAddresses 字段官方 API 亲验 2026-07-17；getCode EOA亲验 2026-07-17","","","","2026-07-17","2026-07-17","",""
"0xa5a5491bca93dd4c076e4906e79e7673f4a5a142","eth","Relay 桥 solver 热钱包 #6（供gas/代发/交付，假共同金主头号源）","bridge","exclude","registry-official","2026-07-17","api.relay.link/chains solverAddresses 字段官方 API 亲验 2026-07-17；getCode EOA亲验 2026-07-17","","","","2026-07-17","2026-07-17","",""
"0x370a7e2d300c14d79d4a7ee07aaca46c4b3012cf","eth","Relay 桥 solver 热钱包 #7（供gas/代发/交付，假共同金主头号源）","bridge","exclude","registry-official","2026-07-17","api.relay.link/chains solverAddresses 字段官方 API 亲验 2026-07-17；getCode EOA亲验 2026-07-17","","","","2026-07-17","2026-07-17","",""
"0xca7ded7e4f4ba8ab3b10009236ae6d1b95094589","eth","Relay 桥 solver 热钱包 #8（供gas/代发/交付，假共同金主头号源）","bridge","exclude","registry-official","2026-07-17","api.relay.link/chains solverAddresses 字段官方 API 亲验 2026-07-17；getCode EOA亲验 2026-07-17","","","","2026-07-17","2026-07-17","",""
"0x331d9a049d496385998067abf6cbb6371c8d2466","eth","Relay 桥 solver 热钱包 #9（供gas/代发/交付，假共同金主头号源）","bridge","exclude","registry-official","2026-07-17","api.relay.link/chains solverAddresses 字段官方 API 亲验 2026-07-17；getCode EOA亲验 2026-07-17","","","","2026-07-17","2026-07-17","",""
"0x18dd3c14e34c1bc379f7538068c59160d9f68e25","eth","Relay 桥 solver 热钱包 #10（供gas/代发/交付，假共同金主头号源）","bridge","exclude","registry-official","2026-07-17","api.relay.link/chains solverAddresses 字段官方 API 亲验 2026-07-17；getCode EOA亲验 2026-07-17","","","","2026-07-17","2026-07-17","",""
"0xf70da97812cb96acdf810712aa562db8dfa3dbef","bsc","Relay 桥 solver 热钱包 #1（供gas/代发/交付，假共同金主头号源）","bridge","exclude","registry-official","2026-07-17","api.relay.link/chains solverAddresses 字段官方 API 亲验 2026-07-17；getCode EOA亲验 2026-07-17","","","","2026-07-17","2026-07-17","",""
"0xa67d7eb4dc68fa6ce8e34ef8cadaf075b9893fbb","bsc","Relay 桥 solver 热钱包 #2（供gas/代发/交付，假共同金主头号源）","bridge","exclude","registry-official","2026-07-17","api.relay.link/chains solverAddresses 字段官方 API 亲验 2026-07-17；getCode EOA亲验 2026-07-17","","","","2026-07-17","2026-07-17","",""
"0x56c262027e0de4aea31d2489529cb25d23e58a8b","bsc","Relay 桥 solver 热钱包 #3（供gas/代发/交付，假共同金主头号源）","bridge","exclude","registry-official","2026-07-17","api.relay.link/chains solverAddresses 字段官方 API 亲验 2026-07-17；getCode EOA亲验 2026-07-17","","","","2026-07-17","2026-07-17","",""
"0xabb2acd3be814a80e502575d6c1dc5f789e9cd10","bsc","Relay 桥 solver 热钱包 #4（供gas/代发/交付，假共同金主头号源）","bridge","exclude","registry-official","2026-07-17","api.relay.link/chains solverAddresses 字段官方 API 亲验 2026-07-17；getCode EOA亲验 2026-07-17","","","","2026-07-17","2026-07-17","",""
"0xf70da97812cb96acdf810712aa562db8dfa3dbef","robinhood","Relay 桥 solver 热钱包 #1（供gas/代发/交付，假共同金主头号源）","bridge","exclude","registry-official","2026-07-17","api.relay.link/chains solverAddresses 字段官方 API 亲验 2026-07-17；getCode EOA亲验 2026-07-17","","","","2026-07-17","2026-07-17","",""
"0xa67d7eb4dc68fa6ce8e34ef8cadaf075b9893fbb","robinhood","Relay 桥 solver 热钱包 #2（供gas/代发/交付，假共同金主头号源）","bridge","exclude","registry-official","2026-07-17","api.relay.link/chains solverAddresses 字段官方 API 亲验 2026-07-17；getCode EOA亲验 2026-07-17","","","","2026-07-17","2026-07-17","",""
"0x56c262027e0de4aea31d2489529cb25d23e58a8b","robinhood","Relay 桥 solver 热钱包 #3（供gas/代发/交付，假共同金主头号源）","bridge","exclude","registry-official","2026-07-17","api.relay.link/chains solverAddresses 字段官方 API 亲验 2026-07-17；getCode EOA亲验 2026-07-17","","","","2026-07-17","2026-07-17","",""
"0xabb2acd3be814a80e502575d6c1dc5f789e9cd10","robinhood","Relay 桥 solver 热钱包 #4（供gas/代发/交付，假共同金主头号源）","bridge","exclude","registry-official","2026-07-17","api.relay.link/chains solverAddresses 字段官方 API 亲验 2026-07-17；getCode EOA亲验 2026-07-17","","","","2026-07-17","2026-07-17","",""
"0xada5bb90d0de0bd1b6f3938708f49295a8d1f7cb","robinhood","Relay 桥 solver 热钱包 #5（供gas/代发/交付，假共同金主头号源）","bridge","exclude","registry-official","2026-07-17","api.relay.link/chains solverAddresses 字段官方 API 亲验 2026-07-17；getCode EOA亲验 2026-07-17","","","","2026-07-17","2026-07-17","",""
"0xf70da97812cb96acdf810712aa562db8dfa3dbef","base","Relay 桥 solver 热钱包 #1（供gas/代发/交付，假共同金主头号源）","bridge","exclude","registry-official","2026-07-17","api.relay.link/chains solverAddresses 字段官方 API 亲验 2026-07-17；getCode EOA亲验 2026-07-17","","","","2026-07-17","2026-07-17","",""
"0x56c262027e0de4aea31d2489529cb25d23e58a8b","base","Relay 桥 solver 热钱包 #2（供gas/代发/交付，假共同金主头号源）","bridge","exclude","registry-official","2026-07-17","api.relay.link/chains solverAddresses 字段官方 API 亲验 2026-07-17；getCode EOA亲验 2026-07-17","","","","2026-07-17","2026-07-17","",""
"0xabb2acd3be814a80e502575d6c1dc5f789e9cd10","base","Relay 桥 solver 热钱包 #3（供gas/代发/交付，假共同金主头号源）","bridge","exclude","registry-official","2026-07-17","api.relay.link/chains solverAddresses 字段官方 API 亲验 2026-07-17；getCode EOA亲验 2026-07-17","","","","2026-07-17","2026-07-17","",""
"0xa67d7eb4dc68fa6ce8e34ef8cadaf075b9893fbb","base","Relay 桥 solver 热钱包 #4（供gas/代发/交付，假共同金主头号源）","bridge","exclude","registry-official","2026-07-17","api.relay.link/chains solverAddresses 字段官方 API 亲验 2026-07-17；getCode EOA亲验 2026-07-17","","","","2026-07-17","2026-07-17","",""
"0xf42b73d2e4d3912eade2a5f7ab39b54064c2acec","base","Relay 桥 solver 热钱包 #5（供gas/代发/交付，假共同金主头号源）","bridge","exclude","registry-official","2026-07-17","api.relay.link/chains solverAddresses 字段官方 API 亲验 2026-07-17；getCode EOA亲验 2026-07-17","","","","2026-07-17","2026-07-17","",""
"0xd782268f600403843484b70710daee6846fc0db8","base","Relay 桥 solver 热钱包 #6（供gas/代发/交付，假共同金主头号源）","bridge","exclude","registry-official","2026-07-17","api.relay.link/chains solverAddresses 字段官方 API 亲验 2026-07-17；getCode EOA亲验 2026-07-17","","","","2026-07-17","2026-07-17","",""
"0xa5a5491bca93dd4c076e4906e79e7673f4a5a142","base","Relay 桥 solver 热钱包 #7（供gas/代发/交付，假共同金主头号源）","bridge","exclude","registry-official","2026-07-17","api.relay.link/chains solverAddresses 字段官方 API 亲验 2026-07-17；getCode EOA亲验 2026-07-17","","","","2026-07-17","2026-07-17","",""
"0x370a7e2d300c14d79d4a7ee07aaca46c4b3012cf","base","Relay 桥 solver 热钱包 #8（供gas/代发/交付，假共同金主头号源）","bridge","exclude","registry-official","2026-07-17","api.relay.link/chains solverAddresses 字段官方 API 亲验 2026-07-17；getCode EOA亲验 2026-07-17","","","","2026-07-17","2026-07-17","",""
"0xca7ded7e4f4ba8ab3b10009236ae6d1b95094589","base","Relay 桥 solver 热钱包 #9（供gas/代发/交付，假共同金主头号源）","bridge","exclude","registry-official","2026-07-17","api.relay.link/chains solverAddresses 字段官方 API 亲验 2026-07-17；getCode EOA亲验 2026-07-17","","","","2026-07-17","2026-07-17","",""
"0x331d9a049d496385998067abf6cbb6371c8d2466","base","Relay 桥 solver 热钱包 #10（供gas/代发/交付，假共同金主头号源）","bridge","exclude","registry-official","2026-07-17","api.relay.link/chains solverAddresses 字段官方 API 亲验 2026-07-17；getCode EOA亲验 2026-07-17","","","","2026-07-17","2026-07-17","",""
"0xada5bb90d0de0bd1b6f3938708f49295a8d1f7cb","base","Relay 桥 solver 热钱包 #11（供gas/代发/交付，假共同金主头号源）","bridge","exclude","registry-official","2026-07-17","api.relay.link/chains solverAddresses 字段官方 API 亲验 2026-07-17；getCode EOA亲验 2026-07-17","","","","2026-07-17","2026-07-17","",""
"0x18dd3c14e34c1bc379f7538068c59160d9f68e25","base","Relay 桥 solver 热钱包 #12（供gas/代发/交付，假共同金主头号源）","bridge","exclude","registry-official","2026-07-17","api.relay.link/chains solverAddresses 字段官方 API 亲验 2026-07-17；getCode EOA亲验 2026-07-17","","","","2026-07-17","2026-07-17","",""
"0x2bb27b73c602643f42471d4751fe4fc4eebefbd1","base","Relay 桥 solver 热钱包 #13（供gas/代发/交付，假共同金主头号源）","bridge","exclude","registry-official","2026-07-17","api.relay.link/chains solverAddresses 字段官方 API 亲验 2026-07-17；getCode EOA亲验 2026-07-17","","","","2026-07-17","2026-07-17","",""
"0xe209e0047731aa494289e1af9a0d03da19c5ef08","base","Relay 桥 solver 热钱包 #14（供gas/代发/交付，假共同金主头号源）","bridge","exclude","registry-official","2026-07-17","api.relay.link/chains solverAddresses 字段官方 API 亲验 2026-07-17；getCode EOA亲验 2026-07-17","","","","2026-07-17","2026-07-17","",""
"0xcc4bc7882d5ec4a3716e589ab3d816b61ae47a1a","base","Relay 桥 solver 热钱包 #15（供gas/代发/交付，假共同金主头号源）","bridge","exclude","registry-official","2026-07-17","api.relay.link/chains solverAddresses 字段官方 API 亲验 2026-07-17；getCode EOA亲验 2026-07-17","","","","2026-07-17","2026-07-17","",""
"0x0ec4e45f9ce3020024c0418a74cd31fbc487038f","base","Relay 桥 solver 热钱包 #16（供gas/代发/交付，假共同金主头号源）","bridge","exclude","registry-official","2026-07-17","api.relay.link/chains solverAddresses 字段官方 API 亲验 2026-07-17；getCode EOA亲验 2026-07-17","","","","2026-07-17","2026-07-17","",""
"0x919968a4238a54b381f022a360260ef5d7e015ac","base","Relay 桥 solver 热钱包 #17（供gas/代发/交付，假共同金主头号源）","bridge","exclude","registry-official","2026-07-17","api.relay.link/chains solverAddresses 字段官方 API 亲验 2026-07-17；getCode EOA亲验 2026-07-17","","","","2026-07-17","2026-07-17","",""
"0x344daadde53a81f95bcc46a99d39107a509251a1","base","Relay 桥 solver 热钱包 #18（供gas/代发/交付，假共同金主头号源）","bridge","exclude","registry-official","2026-07-17","api.relay.link/chains solverAddresses 字段官方 API 亲验 2026-07-17；getCode EOA亲验 2026-07-17","","","","2026-07-17","2026-07-17","",""
"0x698dd6c03b50c3d4af12932a0388338bcdd3aaed","base","Relay 桥 solver 热钱包 #19（供gas/代发/交付，假共同金主头号源）","bridge","exclude","registry-official","2026-07-17","api.relay.link/chains solverAddresses 字段官方 API 亲验 2026-07-17；getCode EOA亲验 2026-07-17","","","","2026-07-17","2026-07-17","",""
"0x511808449be470efaf4131838b2d4998500a6f72","base","Relay 桥 solver 热钱包 #20（供gas/代发/交付，假共同金主头号源）","bridge","exclude","registry-official","2026-07-17","api.relay.link/chains solverAddresses 字段官方 API 亲验 2026-07-17；getCode EOA亲验 2026-07-17","","","","2026-07-17","2026-07-17","",""
"0x728f51950ff096dc03a48f5e83f45ac8bb75f500","base","Relay 桥 solver 热钱包 #21（供gas/代发/交付，假共同金主头号源）","bridge","exclude","registry-official","2026-07-17","api.relay.link/chains solverAddresses 字段官方 API 亲验 2026-07-17；getCode EOA亲验 2026-07-17","","","","2026-07-17","2026-07-17","",""
"0xa5f565650890fba1824ee0f21ebbbf660a179934","eth","RelayReceiver（用户入金收款）","bridge","exclude","registry-official","2026-07-17","docs.relay.link contract-addresses + API 双源 2026-07-17；getCode 合约码len=2206 2026-07-17","","","","2026-07-17","2026-07-17","",""
"0xb92fe925dc43a0ecde6c8b1a2709c170ec4fff4f","eth","Relay ERC20Router v3","bridge","exclude","registry-official","2026-07-17","docs.relay.link contract-addresses + API 双源 2026-07-17；getCode 合约码len=9442 2026-07-17","","","","2026-07-17","2026-07-17","",""
"0xccc88a9d1b4ed6b0eaba998850414b24f1c315be","eth","Relay ApprovalProxy v3","bridge","exclude","registry-official","2026-07-17","docs.relay.link contract-addresses + API 双源 2026-07-17；getCode 合约码len=15494 2026-07-17","","","","2026-07-17","2026-07-17","",""
"0xb90ed4c123843cbfd66b11411ee7694ef37e6e72","eth","Relay onlyOwnerMulticaller","bridge","exclude","registry-official","2026-07-17","api.relay.link/chains solverAddresses 字段官方 API 亲验 2026-07-17；getCode 合约码len=2716 2026-07-17","","","","2026-07-17","2026-07-17","",""
"0x0000000000002bdbf1bf3279983603ec279cc6df","eth","Relay multicaller","infra","exclude","registry-official","2026-07-17","api.relay.link/chains solverAddresses 字段官方 API 亲验 2026-07-17；getCode 合约码len=1396 2026-07-17","","","","2026-07-17","2026-07-17","",""
"0xa5f565650890fba1824ee0f21ebbbf660a179934","bsc","RelayReceiver（用户入金收款）","bridge","exclude","registry-official","2026-07-17","docs.relay.link contract-addresses + API 双源 2026-07-17；getCode 合约码len=2206 2026-07-17","","","","2026-07-17","2026-07-17","",""
