address,chain,name,category,tier,source,added_date,evidence,risk_flags,merge_policy,balance_policy,source_snapshot_at,verified_at,status,raw_labels
0xffffffffffffffffffffffffffffffffffffffff,hyperliquid,HIP-2,infra,exclude,hypurrscan-aliases,2026-07-17,Hypurrscan /globalAliases（2026-07-17 拉取）,,,,2026-07-17,,,
0x0000000000000000000000000000000000000000,hyperliquid,Burn Address 🔥,burn,exclude,hypurrscan-aliases,2026-07-17,Hypurrscan /globalAliases（2026-07-17 拉取）,,,,2026-07-17,,,
0xd9e123f1d89860bca5f368e6cac0ccbf5f6b61af,hyperliquid,RUG Deployer,contract-deployer,identity,hypurrscan-aliases,2026-07-17,Hypurrscan /globalAliases（2026-07-17 拉取）,,,,2026-07-17,,,
0x57fa3dd7d4afd23ad4ffb8dc3f6e0451841f9f1c,hyperliquid,PEPE Deployer,contract-deployer,identity,hypurrscan-aliases,2026-07-17,Hypurrscan /globalAliases（2026-07-17 拉取）,,,,2026-07-17,,,
0x02327a889869195464d32a466d0606053fc19598,hyperliquid,CAPPY Deployer,contract-deployer,identity,hypurrscan-aliases,2026-07-17,Hypurrscan /globalAliases（2026-07-17 拉取）,,,,2026-07-17,,,
0x2857532d16209ada3869fb65df859a3320de5e14,hyperliquid,TRUMP Deployer,contract-deployer,identity,hypurrscan-aliases,2026-07-17,Hypurrscan /globalAliases（2026-07-17 拉取）,,,,2026-07-17,,,
0xcc16ae2ffc076d7bcd5ec3fb1e9aa5c2984133a1,hyperliquid,SIX Deployer,contract-deployer,identity,hypurrscan-aliases,2026-07-17,Hypurrscan /globalAliases（2026-07-17 拉取）,,,,2026-07-17,,,
0x1c49e03f3683fd39bc01751378c7f59cbb97d1b0,hyperliquid,GMEOW Deployer,contract-deployer,identity,hypurrscan-aliases,2026-07-17,Hypurrscan /globalAliases（2026-07-17 拉取）,,,,2026-07-17,,,
0xfe636473dcb6d86bbbb6165dd4b080c2f0decc31,hyperliquid,XULIAN Deployer,contract-deployer,identity,hypurrscan-aliases,2026-07-17,Hypurrscan /globalAliases（2026-07-17 拉取）,,,,2026-07-17,,,
0x17a4ce9320bec0ac79420f0af19848044a469d8d,hyperliquid,POINTS Deployer,contract-deployer,identity,hypurrscan-aliases,2026-07-17,Hypurrscan /globalAliases（2026-07-17 拉取）,,,,2026-07-17,,,
0xe2a0cc663acfe5d7a9cb82a743383297597a8ff3,hyperliquid,HFUN Deployer,contract-deployer,identity,hypurrscan-aliases,2026-07-17,Hypurrscan /globalAliases（2026-07-17 拉取）,,,,2026-07-17,,,
0x8191fed3f7c09fd9ee0fbd4b3ab485911ec6e8cc,hyperliquid,MANLET Deployer,contract-deployer,identity,hypurrscan-aliases,2026-07-17,Hypurrscan /globalAliases（2026-07-17 拉取）,,,,2026-07-17,,,
0x1406125fde50b26bcd783b2cc1ed16a18621df27,hyperliquid,LICK Deployer,contract-deployer,identity,hypurrscan-aliases,2026-07-17,Hypurrscan /globalAliases（2026-07-17 拉取）,,,,2026-07-17,,,
0x1d4c01e15a637cb3cbaf86ffbb02e5a260d01fbc,hyperliquid,PURR Deployer,contract-deployer,identity,hypurrscan-aliases,2026-07-17,Hypurrscan /globalAliases（2026-07-17 拉取）,,,,2026-07-17,,,
0x86c66b00257dc08d4e33dc7c50e9a05c1937b397,hyperliquid,WAGMI Deployer,contract-deployer,identity,hypurrscan-aliases,2026-07-17,Hypurrscan /globalAliases（2026-07-17 拉取）,,,,2026-07-17,,,
0x81196517de1d77ebc8a1951c3ea1a103e732479c,hyperliquid,JEFF Deployer,contract-deployer,identity,hypurrscan-aliases,2026-07-17,Hypurrscan /globalAliases（2026-07-17 拉取）,,,,2026-07-17,,,
0x501a76325a353a4249740ada1d4bce46dbdd67d6,hyperliquid,HFUN Fees Receiver,entity,identity,hypurrscan-aliases,2026-07-17,Hypurrscan /globalAliases（2026-07-17 拉取）,,,,2026-07-17,,,
0xfacb7404c1fad06444bda161d1304e4b7aa14e77,hyperliquid,FUCKY Deployer,contract-deployer,identity,hypurrscan-aliases,2026-07-17,Hypurrscan /globalAliases（2026-07-17 拉取）,,,,2026-07-17,,,
0xf517639a8872e756ac98d3c65507d2ebc25cc032,hyperliquid,BRIDGE Deployer,contract-deployer,identity,hypurrscan-aliases,2026-07-17,Hypurrscan /globalAliases（2026-07-17 拉取）,,,,2026-07-17,,,
0x658be0b5fd675b279779d45990904c6392c8b49f,hyperliquid,BAGS Deployer,contract-deployer,identity,hypurrscan-aliases,2026-07-17,Hypurrscan /globalAliases（2026-07-17 拉取）,,,,2026-07-17,,,
0xedf5a40efa20b78beffc2e1c02be97b9fb726662,hyperliquid,ANSEM Deployer,contract-deployer,identity,hypurrscan-aliases,2026-07-17,Hypurrscan /globalAliases（2026-07-17 拉取）,,,,2026-07-17,,,
0xa9fb6044fc1f468955995b2c637bdc4ba7c1d2ea,hyperliquid,TATE Deployer,contract-deployer,identity,hypurrscan-aliases,2026-07-17,Hypurrscan /globalAliases（2026-07-17 拉取）,,,,2026-07-17,,,
0x3897a4701f7da780384c4ba44ef30ed7b18c3830,hyperliquid,PUMP Deployer,contract-deployer,identity,hypurrscan-aliases,2026-07-17,Hypurrscan /globalAliases（2026-07-17 拉取）,,,,2026-07-17,,,
0x000000000000000000000000000000000000dead,hyperliquid,Burn Address 🔥,burn,exclude,hypurrscan-aliases,2026-07-17,Hypurrscan /globalAliases（2026-07-17 拉取）,,,,2026-07-17,,,
0xfa10fcd5f3e56d87b76bbe5c62d85c422ed25342,hyperliquid,KOBE Deployer,contract-deployer,identity,hypurrscan-aliases,2026-07-17,Hypurrscan /globalAliases（2026-07-17 拉取）,,,,2026-07-17,,,
0x942f00b378fdb388bfae1723ea3b7953b2ae6969,hyperliquid,XULIAN/ILIENS Dev Wallet,entity,identity,hypurrscan-aliases,2026-07-17,Hypurrscan /globalAliases（2026-07-17 拉取）,,,,2026-07-17,,,
0xf634efe7ecc04d2be811f4968d12c7ea7b458b98,hyperliquid,HAPPY Deployer,contract-deployer,identity,hypurrscan-aliases,2026-07-17,Hypurrscan /globalAliases（2026-07-17 拉取）,,,,2026-07-17,,,
0x03738f950aa079dc8afbe287244111f29e2d3bb5,hyperliquid,SELL Deployer,contract-deployer,identity,hypurrscan-aliases,2026-07-17,Hypurrscan /globalAliases（2026-07-17 拉取）,,,,2026-07-17,,,
0x27bf82cee5693f43d32773d884ba8727c8e89b90,hyperliquid,CATNIP Deployer,contract-deployer,identity,hypurrscan-aliases,2026-07-17,Hypurrscan /globalAliases（2026-07-17 拉取）,,,,2026-07-17,,,
0x691cf5e7448cafdf338ad1524ebfab5a7af1f179,hyperliquid,HBOOST Deployer,contract-deployer,identity,hypurrscan-aliases,2026-07-17,Hypurrscan /globalAliases（2026-07-17 拉取）,,,,2026-07-17,,,
0x23627d1c69aa13504e412035f42087685609d52e,hyperliquid,FARMED Deployer,contract-deployer,identity,hypurrscan-aliases,2026-07-17,Hypurrscan /globalAliases（2026-07-17 拉取）,,,,2026-07-17,,,
0xc3c92e91002019e2cabce59c5e9965a99c530526,hyperliquid,BIGBEN Deployer,contract-deployer,identity,hypurrscan-aliases,2026-07-17,Hypurrscan /globalAliases（2026-07-17 拉取）,,,,2026-07-17,,,
0xd92b8d4877ecf955ae50f154f7bf3f8c298bbcac,hyperliquid,HFUN Gambling Wallet,entity,identity,hypurrscan-aliases,2026-07-17,Hypurrscan /globalAliases（2026-07-17 拉取）,,,,2026-07-17,,,
0xf2e65447c789bb64c8d5991a468f0eecf5bf8408,hyperliquid,GUP Deployer,contract-deployer,identity,hypurrscan-aliases,2026-07-17,Hypurrscan /globalAliases（2026-07-17 拉取）,,,,2026-07-17,,,
0x0c29bcec93af225ff7687684242b3c69efa1e00f,hyperliquid,GPT Deployer,contract-deployer,identity,hypurrscan-aliases,2026-07-17,Hypurrscan /globalAliases（2026-07-17 拉取）,,,,2026-07-17,,,
0xeacdb112d3d7882af10ef31b65e6addb595092d0,hyperliquid,PANDA Deployer,contract-deployer,identity,hypurrscan-aliases,2026-07-17,Hypurrscan /globalAliases（2026-07-17 拉取）,,,,2026-07-17,,,
0xeb074cf1766076c39c10ce960676c73f0b6dd01b,hyperliquid,BID Deployer,contract-deployer,identity,hypurrscan-aliases,2026-07-17,Hypurrscan /globalAliases（2026-07-17 拉取）,,,,2026-07-17,,,
0xb0aa36bf209358a423d9ecee67194e218c0c639b,hyperliquid,HODL Deployer,contract-deployer,identity,hypurrscan-aliases,2026-07-17,Hypurrscan /globalAliases（2026-07-17 拉取）,,,,2026-07-17,,,
0xd5d04ad6d8170631ba6f293d8a015dfa445b22c6,hyperliquid,VEGAS Deployer,contract-deployer,identity,hypurrscan-aliases,2026-07-17,Hypurrscan /globalAliases（2026-07-17 拉取）,,,,2026-07-17,,,
0xd3042dd32cc3ce05d45ee185714bc8fed59593f6,hyperliquid,RAGE Deployer,contract-deployer,identity,hypurrscan-aliases,2026-07-17,Hypurrscan /globalAliases（2026-07-17 拉取）,,,,2026-07-17,,,
0xae899cbbdab7c3d520e07a4f9b7ca74c6ab60b0f,hyperliquid,VEGAS Gambling,entity,identity,hypurrscan-aliases,2026-07-17,Hypurrscan /globalAliases（2026-07-17 拉取）,,,,2026-07-17,,,
0x1d93b5d8e7cb0a4c31e62caf14b37b8c3f5dcf35,hyperliquid,ASI Deployer,contract-deployer,identity,hypurrscan-aliases,2026-07-17,Hypurrscan /globalAliases（2026-07-17 拉取）,,,,2026-07-17,,,
0xdfc24b077bc1425ad1dea75bcb6f8158e10df303,hyperliquid,HLP Vault,locker,identity,hypurrscan-aliases,2026-07-17,Hypurrscan /globalAliases（2026-07-17 拉取）,,,,2026-07-17,,,
0x0aadc54a9e78cfe2e971aa8edcedea9c6df01f46,hyperliquid,LEAP Deployer,contract-deployer,identity,hypurrscan-aliases,2026-07-17,Hypurrscan /globalAliases（2026-07-17 拉取）,,,,2026-07-17,,,
0xea09dee22e4a666bf36c2d70f24340f2214bd1d9,hyperliquid,VAPOR Deployer,contract-deployer,identity,hypurrscan-aliases,2026-07-17,Hypurrscan /globalAliases（2026-07-17 拉取）,,,,2026-07-17,,,
0x0cbf655b0d22ae71fba3a674b0e1c0c7e7f975af,hyperliquid,PVP Deployer,contract-deployer,identity,hypurrscan-aliases,2026-07-17,Hypurrscan /globalAliases（2026-07-17 拉取）,,,,2026-07-17,,,
0x8bf6549046ab9c3d44f028a125db68195db8c82b,hyperliquid,X Deployer,contract-deployer,identity,hypurrscan-aliases,2026-07-17,Hypurrscan /globalAliases（2026-07-17 拉取）,,,,2026-07-17,,,
0xceebc1c8e24786d9232e75ff1780835f23dff314,hyperliquid,PILL Deployer,contract-deployer,identity,hypurrscan-aliases,2026-07-17,Hypurrscan /globalAliases（2026-07-17 拉取）,,,,2026-07-17,,,
0x89ce7c0adf950341d48213db84421aed654acb84,hyperliquid,ADHD Deployer,contract-deployer,identity,hypurrscan-aliases,2026-07-17,Hypurrscan /globalAliases（2026-07-17 拉取）,,,,2026-07-17,,,
0x7febc701f0f6cef52048c669a5147cf1f59dbdd0,hyperliquid,PANDA Marketing Wallet,entity,identity,hypurrscan-aliases,2026-07-17,Hypurrscan /globalAliases（2026-07-17 拉取）,,,,2026-07-17,,,
0x3fe30840133d2a934838ffe8fd4742748c8308a4,hyperliquid,Derteil Group Wallet,entity,identity,hypurrscan-aliases,2026-07-17,Hypurrscan /globalAliases（2026-07-17 拉取）,,,,2026-07-17,,,
0xfd6aee13b037fe2644dbff826e3642338a205907,hyperliquid,LADY Deployer,contract-deployer,identity,hypurrscan-aliases,2026-07-17,Hypurrscan /globalAliases（2026-07-17 拉取）,,,,2026-07-17,,,
0x1fd395a66cf70e897333acdd2dc7b7986f7b960c,hyperliquid,CAT Deployer,contract-deployer,identity,hypurrscan-aliases,2026-07-17,Hypurrscan /globalAliases（2026-07-17 拉取）,,,,2026-07-17,,,
0xb3af7525b712ee29b12fc00b91c19659a0af3724,hyperliquid,HPEPE Deployer,contract-deployer,identity,hypurrscan-aliases,2026-07-17,Hypurrscan /globalAliases（2026-07-17 拉取）,,,,2026-07-17,,,
0xda9ce995def8f2cb0fbe3716c8b194099b0d260b,hyperliquid,MBAPPE Deployer,contract-deployer,identity,hypurrscan-aliases,2026-07-17,Hypurrscan /globalAliases（2026-07-17 拉取）,,,,2026-07-17,,,
0x017e1f81b2e17bd02c4cd337fcbeabe01a0b4bf0,hyperliquid,LADY Dev 1,entity,identity,hypurrscan-aliases,2026-07-17,Hypurrscan /globalAliases（2026-07-17 拉取）,,,,2026-07-17,,,
0xe07e9cfd33830fd3790ad93e78615019c0cb42c1,hyperliquid,LADY Dev 2,entity,identity,hypurrscan-aliases,2026-07-17,Hypurrscan /globalAliases（2026-07-17 拉取）,,,,2026-07-17,,,
0x6011fdf081afd0aab6c04420ed31cc3ae6e0756b,hyperliquid,LADY Milady Airdrop,entity,identity,hypurrscan-aliases,2026-07-17,Hypurrscan /globalAliases（2026-07-17 拉取）,,,,2026-07-17,,,
0x6f582a74e2710a27ce3e715628056e2a66062618,hyperliquid,LADY Remilio Airdrop,entity,identity,hypurrscan-aliases,2026-07-17,Hypurrscan /globalAliases（2026-07-17 拉取）,,,,2026-07-17,,,
0x832efd3d0221c57641b616b999712a24282a39c6,hyperliquid,MAGA Deployer,contract-deployer,identity,hypurrscan-aliases,2026-07-17,Hypurrscan /globalAliases（2026-07-17 拉取）,,,,2026-07-17,,,
0xbd5a839d9cfbc3f439249fc0e0bea6576cfa8c7a,hyperliquid,MOG Deployer,contract-deployer,identity,hypurrscan-aliases,2026-07-17,Hypurrscan /globalAliases（2026-07-17 拉取）,,,,2026-07-17,,,
0x3109836d33dd4c7f9572d67d941d262956675d8c,hyperliquid,OMNIX Deployer,contract-deployer,identity,hypurrscan-aliases,2026-07-17,Hypurrscan /globalAliases（2026-07-17 拉取）,,,,2026-07-17,,,
0xed548674aa909c7707f124fb1ead0d7cd81bc96f,hyperliquid,COKE Deployer,contract-deployer,identity,hypurrscan-aliases,2026-07-17,Hypurrscan /globalAliases（2026-07-17 拉取）,,,,2026-07-17,,,
0x1f63c911f680ade9bf7f8984fac2128873c2b7a7,hyperliquid,JEET Deployer,contract-deployer,identity,hypurrscan-aliases,2026-07-17,Hypurrscan /globalAliases（2026-07-17 拉取）,,,,2026-07-17,,,
0x3b7d601e09c85ab0b703f6cd73ff7f7743e8c963,hyperliquid,DROP Deployer,contract-deployer,identity,hypurrscan-aliases,2026-07-17,Hypurrscan /globalAliases（2026-07-17 拉取）,,,,2026-07-17,,,
0xca7da183ab7fa317c670e36b90b2c99033ca76ca,hyperliquid,CBD Deployer,contract-deployer,identity,hypurrscan-aliases,2026-07-17,Hypurrscan /globalAliases（2026-07-17 拉取）,,,,2026-07-17,,,
0xdaa29f6264adf4e8ce8e5237155ed984a9b31b17,hyperliquid,ARI Deployer,contract-deployer,identity,hypurrscan-aliases,2026-07-17,Hypurrscan /globalAliases（2026-07-17 拉取）,,,,2026-07-17,,,
0x3f83e35c73e9f5877d51d417c6751a8610e5c9ca,hyperliquid,TEST Deployer,contract-deployer,identity,hypurrscan-aliases,2026-07-17,Hypurrscan /globalAliases（2026-07-17 拉取）,,,,2026-07-17,,,
0x73fb3ae549399540e3d7c74cc522c712f7924b1e,hyperliquid,KING Deployer,contract-deployer,identity,hypurrscan-aliases,2026-07-17,Hypurrscan /globalAliases（2026-07-17 拉取）,,,,2026-07-17,,,
0xe8f7355a17fc67219fd6d15fc9ffd5662977957b,hyperliquid,MEOW Deployer,contract-deployer,identity,hypurrscan-aliases,2026-07-17,Hypurrscan /globalAliases（2026-07-17 拉取）,,,,2026-07-17,,,
0x66f814d91a1425545d5bc3536ebaf7ea465e7f22,hyperliquid,ANT Deployer,contract-deployer,identity,hypurrscan-aliases,2026-07-17,Hypurrscan /globalAliases（2026-07-17 拉取）,,,,2026-07-17,,,
0x95c2c8c86c964f0b456ec7a78d3e354cf41b3df4,hyperliquid,FRAC Deployer,contract-deployer,identity,hypurrscan-aliases,2026-07-17,Hypurrscan /globalAliases（2026-07-17 拉取）,,,,2026-07-17,,,
0xcf8e93f898645bc6866ffaf7190f1fb73907efc1,hyperliquid,Rage Treasury,entity,identity,hypurrscan-aliases,2026-07-17,Hypurrscan /globalAliases（2026-07-17 拉取）,,,,2026-07-17,,,
0x2a0d83fb5f9a8454510bf35160ed94fd28505c11,hyperliquid,Rage Investors + Airdrop,entity,identity,hypurrscan-aliases,2026-07-17,Hypurrscan /globalAliases（2026-07-17 拉取）,,,,2026-07-17,,,
0x7d624801687122b1f18bce2f8840909b21ea8c67,hyperliquid,Rage Team,fund,identity,hypurrscan-aliases,2026-07-17,Hypurrscan /globalAliases（2026-07-17 拉取）,,,,2026-07-17,,,
0xa308807e617eccfc2c24e48b01c1450efa767e01,hyperliquid,Rage MM / Product,entity,identity,hypurrscan-aliases,2026-07-17,Hypurrscan /globalAliases（2026-07-17 拉取）,,,,2026-07-17,,,
0xdfdeb39d0bc98e37d3f13b05226b19173acba087,hyperliquid,ATEHUN Deployer,contract-deployer,identity,hypurrscan-aliases,2026-07-17,Hypurrscan /globalAliases（2026-07-17 拉取）,,,,2026-07-17,,,
0x4dbea9091a531c765dba925b51158b0a39b204b5,hyperliquid,FRCT Deployer,contract-deployer,identity,hypurrscan-aliases,2026-07-17,Hypurrscan /globalAliases（2026-07-17 拉取）,,,,2026-07-17,,,
0x51ccab0c00a4f504006beac2866b752366dc38de,hyperliquid,COZY Deployer,contract-deployer,identity,hypurrscan-aliases,2026-07-17,Hypurrscan /globalAliases（2026-07-17 拉取）,,,,2026-07-17,,,
