address,chain,name,category,tier,source,added_date,evidence,risk_flags,merge_policy,balance_policy,source_snapshot_at,verified_at,status,raw_labels
0xcF77a3Ba9A5CA399B7c97c74d54e5b1Beb874E43,base,Aerodrome Router,router,exclude,registry-official,2026-07-17,github.com/aerodrome-finance/contracts README（官方部署表 2026-07-17 亲验）,,,,2026-07-17,2026-07-17,,
0x420DD381b31aEf6683db6B902084cB0FFECe40Da,base,Aerodrome PoolFactory（V2 型池工厂）,protocol,exclude,registry-official,2026-07-17,github.com/aerodrome-finance/contracts README（官方部署表 2026-07-17 亲验）,,,,2026-07-17,2026-07-17,,
0x16613524e02ad97eDfeF371bC883F2F5d6C480A5,base,Aerodrome Voter,protocol,exclude,registry-official,2026-07-17,github.com/aerodrome-finance/contracts README（官方部署表 2026-07-17 亲验）,,,,2026-07-17,2026-07-17,,
0xeBf418Fe2512e7E6bd9b87a8F0f294aCDC67e6B4,base,Aerodrome VotingEscrow（veAERO 锁仓 NFT）,locker,identity,registry-official,2026-07-17,github.com/aerodrome-finance/contracts README（官方部署表 2026-07-17 亲验）,,,,2026-07-17,2026-07-17,,
0xeB018363F0a9Af8f91F06FEe6613a751b2A33FE5,base,Aerodrome Minter（AERO 排放铸币）,protocol,exclude,registry-official,2026-07-17,github.com/aerodrome-finance/contracts README（官方部署表 2026-07-17 亲验）,,,,2026-07-17,2026-07-17,,
0x940181a94A35A4569E4529A3CDfB74e38FD98631,base,AERO（Aerodrome 治理代币合约）,token-contract,exclude,registry-official,2026-07-17,github.com/aerodrome-finance/contracts README（官方部署表 2026-07-17 亲验）,,,,2026-07-17,2026-07-17,,
0x227f65131A261548b057215bB1D5Ab2997964C7d,base,Aerodrome RewardsDistributor（rebase 分发）,protocol,exclude,registry-official,2026-07-17,github.com/aerodrome-finance/contracts README（官方部署表 2026-07-17 亲验）,,,,2026-07-17,2026-07-17,,
0x5C3F18F06CC09CA1910767A34a20F771039E37C0,base,Aerodrome FactoryRegistry,infra,exclude,registry-official,2026-07-17,github.com/aerodrome-finance/contracts README（官方部署表 2026-07-17 亲验）,,,,2026-07-17,2026-07-17,,
0x35f35cA5B132CaDf2916BaB57639128eAC5bbcb5,base,Aerodrome GaugeFactory,infra,exclude,registry-official,2026-07-17,github.com/aerodrome-finance/contracts README（官方部署表 2026-07-17 亲验）,,,,2026-07-17,2026-07-17,,
0x45cA74858C579E717ee29A86042E0d53B252B504,base,Aerodrome VotingRewardsFactory,infra,exclude,registry-official,2026-07-17,github.com/aerodrome-finance/contracts README（官方部署表 2026-07-17 亲验）,,,,2026-07-17,2026-07-17,,
0xFdA1fb5A2a5B23638C7017950506a36dcFD2bDC3,base,Aerodrome ManagedRewardsFactory,infra,exclude,registry-official,2026-07-17,github.com/aerodrome-finance/contracts README（官方部署表 2026-07-17 亲验）,,,,2026-07-17,2026-07-17,,
0x15e62707FCA7352fbE35F51a8D6b0F8066A05DCc,base,Aerodrome Forwarder（元交易转发）,infra,exclude,registry-official,2026-07-17,github.com/aerodrome-finance/contracts README（官方部署表 2026-07-17 亲验）,,,,2026-07-17,2026-07-17,,
0x5e7BB104d84c7CB9B682AaC2F3d509f5F406809A,base,Aerodrome Slipstream CLFactory（初始部署）,protocol,exclude,registry-official,2026-07-17,github.com/aerodrome-finance/slipstream README（官方部署表 2026-07-17 亲验）,,,,2026-07-17,2026-07-17,,
0x827922686190790b37229fd06084350E74485b72,base,Aerodrome Slipstream NonfungiblePositionManager（初始部署；从它收币=LP 提取非买入）,protocol,exclude,registry-official,2026-07-17,github.com/aerodrome-finance/slipstream README（官方部署表 2026-07-17 亲验）,,,,2026-07-17,2026-07-17,,
0xBE6D8f0d05cC4be24d5167a3eF062215bE6D18a5,base,Aerodrome Slipstream SwapRouter（初始部署）,router,exclude,registry-official,2026-07-17,github.com/aerodrome-finance/slipstream README（官方部署表 2026-07-17 亲验）,,,,2026-07-17,2026-07-17,,
0xaDe65c38CD4849aDBA595a4323a8C7DdfE89716a,base,Aerodrome Slipstream CLFactory（Gauge Caps 部署）,protocol,exclude,registry-official,2026-07-17,github.com/aerodrome-finance/slipstream README（官方部署表 2026-07-17 亲验）,,,,2026-07-17,2026-07-17,,
0xa990C6a764b73BF43cee5Bb40339c3322FB9D55F,base,Aerodrome Slipstream NonfungiblePositionManager（Gauge Caps 部署）,protocol,exclude,registry-official,2026-07-17,github.com/aerodrome-finance/slipstream README（官方部署表 2026-07-17 亲验）,,,,2026-07-17,2026-07-17,,
0xcbBb8035cAc7D4B3Ca7aBb74cF7BdF900215Ce0D,base,Aerodrome Slipstream SwapRouter（Gauge Caps 部署）,router,exclude,registry-official,2026-07-17,github.com/aerodrome-finance/slipstream README（官方部署表 2026-07-17 亲验）,,,,2026-07-17,2026-07-17,,
0xf8f2eB4940CFE7d13603DDDD87f123820Fc061Ef,base,Aerodrome Slipstream CLFactory（Gauges V3 现行部署）,protocol,exclude,registry-official,2026-07-17,github.com/aerodrome-finance/slipstream README（官方部署表 2026-07-17 亲验）,,,,2026-07-17,2026-07-17,,
0xe1f8cd9AC4e4A65F54f38a5CdAfCA44f6dD68b53,base,Aerodrome Slipstream NonfungiblePositionManager（Gauges V3 现行）,protocol,exclude,registry-official,2026-07-17,github.com/aerodrome-finance/slipstream README（官方部署表 2026-07-17 亲验）,,,,2026-07-17,2026-07-17,,
0x698Cb2b6dd822994581fEa6eA4Fc755d1363A92F,base,Aerodrome Slipstream SwapRouter（Gauges V3 现行）,router,exclude,registry-official,2026-07-17,github.com/aerodrome-finance/slipstream README（官方部署表 2026-07-17 亲验）,,,,2026-07-17,2026-07-17,,
0xE85A59c628F7d27878ACeB4bf3b35733630083a9,base,Clanker v4 工厂（agent 发射台主合约）,launchpad,exclude,registry-official,2026-07-17,github.com/clanker-devco/v4-contracts README Base Mainnet 段（2026-07-17 亲验）,,,,2026-07-17,2026-07-17,,
0xF3622742b1E446D92e45E22923Ef11C2fcD55D68,base,ClankerFeeLocker（LP 费托管）,locker,identity,registry-official,2026-07-17,github.com/clanker-devco/v4-contracts README Base Mainnet 段（2026-07-17 亲验）,,,,2026-07-17,2026-07-17,,
0x29d17C1A8D851d7d4cA97FAe97AcAdb398D9cCE0,base,ClankerLpLocker（LP 锁仓管理）,locker,identity,registry-official,2026-07-17,github.com/clanker-devco/v4-contracts README Base Mainnet 段（2026-07-17 亲验）,,,,2026-07-17,2026-07-17,,
0x8E845EAd15737bF71904A30BdDD3aEE76d6ADF6C,base,ClankerVault（创始人份额锁仓）,locker,identity,registry-official,2026-07-17,github.com/clanker-devco/v4-contracts README Base Mainnet 段（2026-07-17 亲验）,,,,2026-07-17,2026-07-17,,
0x56Fa0Da89eD94822e46734e736d34Cab72dF344F,base,ClankerAirdrop（空投分发合约）,airdrop-distributor,identity,registry-official,2026-07-17,github.com/clanker-devco/v4-contracts README Base Mainnet 段（2026-07-17 亲验）,,,,2026-07-17,2026-07-17,,
0xf652B3610D75D81871bf96DB50825d9af28391E0,base,ClankerAirdropV2（空投分发合约）,airdrop-distributor,identity,registry-official,2026-07-17,github.com/clanker-devco/v4-contracts README Base Mainnet 段（2026-07-17 亲验）,,,,2026-07-17,2026-07-17,,
0x1331f0788F9c08C8F38D52c7a1152250A9dE00be,base,ClankerUniv4EthDevBuy（dev 首购执行器）,router,exclude,registry-official,2026-07-17,github.com/clanker-devco/v4-contracts README Base Mainnet 段（2026-07-17 亲验）,,,,2026-07-17,2026-07-17,,
0x8718238cF0063b69513A22f6a278789cDE5B08B5,base,ClankerUniv3EthDevBuy（dev 首购执行器）,router,exclude,registry-official,2026-07-17,github.com/clanker-devco/v4-contracts README Base Mainnet 段（2026-07-17 亲验）,,,,2026-07-17,2026-07-17,,
0xFdc013ce003980889cFfd66b0c8329545ae1d1E8,base,ClankerSniperAuctionV0（狙击拍卖机制）,protocol,exclude,registry-official,2026-07-17,github.com/clanker-devco/v4-contracts README Base Mainnet 段（2026-07-17 亲验）,,,,2026-07-17,2026-07-17,,
0xebB25BB797D82CB78E1bc70406b13233c0854413,base,ClankerSniperAuctionV2（狙击拍卖机制）,protocol,exclude,registry-official,2026-07-17,github.com/clanker-devco/v4-contracts README Base Mainnet 段（2026-07-17 亲验）,,,,2026-07-17,2026-07-17,,
0x34a45c6B61876d739400Bd71228CbcbD4F53E8cC,base,ClankerHookDynamicFee（Uniswap V4 hook）,infra,exclude,registry-official,2026-07-17,github.com/clanker-devco/v4-contracts README Base Mainnet 段（2026-07-17 亲验）,,,,2026-07-17,2026-07-17,,
0xDd5EeaFf7BD481AD55Db083062b13a3cdf0A68CC,base,ClankerHookStaticFee（Uniswap V4 hook）,infra,exclude,registry-official,2026-07-17,github.com/clanker-devco/v4-contracts README Base Mainnet 段（2026-07-17 亲验）,,,,2026-07-17,2026-07-17,,
0xd60D6B218116cFd801E28F78d011a203D2b068Cc,base,ClankerHookDynamicFeeV2（Uniswap V4 hook）,infra,exclude,registry-official,2026-07-17,github.com/clanker-devco/v4-contracts README Base Mainnet 段（2026-07-17 亲验）,,,,2026-07-17,2026-07-17,,
0xb429d62f8f3bFFb98CdB9569533eA23bF0Ba28CC,base,ClankerHookStaticFeeV2（Uniswap V4 hook）,infra,exclude,registry-official,2026-07-17,github.com/clanker-devco/v4-contracts README Base Mainnet 段（2026-07-17 亲验）,,,,2026-07-17,2026-07-17,,
0x63D2DfEA64b3433F4071A98665bcD7Ca14d93496,base,ClankerLpLockerFeeConversion（LP 费转换锁）,locker,identity,registry-official,2026-07-17,github.com/clanker-devco/v4-contracts README Base Mainnet 段（2026-07-17 亲验）,,,,2026-07-17,2026-07-17,,
0x2A787b2362021cC3eEa3C24C4748a6cD5B687382,base,Clanker v3.1 工厂,launchpad,exclude,registry-official,2026-07-17,github.com/clanker-devco/v3.1-contracts README（basescan 链接段 2026-07-17 亲验）,,,,2026-07-17,2026-07-17,,
