address,chain,name,category,tier,source,added_date,evidence,risk_flags,merge_policy,balance_policy,source_snapshot_at,verified_at,status,raw_labels
0x36b854d67ba956fd359911e5d3c177caaaff9464,bsc,惯犯庄家（bibi案·庄#1·三地址·bundle发射（已清仓））,serial-actor,identity,serial-offenders,2026-07-17,bibi分析 appendix whale_group「庄#1·三地址·bundle发射（已清仓）」,serial-offender,,,2026-07-17,2026-07-17,,
0x82dcf1fde9ce5011121c05cf74c3bf9c1f002f01,bsc,惯犯庄家（bibi案·庄#1·三地址·bundle发射（已清仓））,serial-actor,identity,serial-offenders,2026-07-17,bibi分析 appendix whale_group「庄#1·三地址·bundle发射（已清仓）」,serial-offender,,,2026-07-17,2026-07-17,,
0xdf45a1bcae59dc956965a7937532edbcaad5317c,bsc,惯犯庄家（bibi案·庄#1·三地址·bundle发射（已清仓））,serial-actor,identity,serial-offenders,2026-07-17,bibi分析 appendix whale_group「庄#1·三地址·bundle发射（已清仓）」,serial-offender,,,2026-07-17,2026-07-17,,
0x0000000b96f62d772a0494100ef4494d834de457,robinhood,惯犯庄家（MEOW案·项目方）,serial-actor,identity,serial-offenders,2026-07-17,meow分析 appendix whale_group「项目方」（人工白名单：记忆存档实锤工作室）,serial-offender,,,2026-07-17,2026-07-17,,
0x02d83c46b61c0c3da6bbdee02212fa820fb158eb,robinhood,惯犯庄家（CASHCAT案·狙击集团#1（旧庄#2·0x9f49出纳星座，标）,serial-actor,identity,serial-offenders,2026-07-17,CASHCAT分析 appendix whale_group「狙击集团#1（旧庄#2·0x9f49出纳星座，标准迁移）」,serial-offender,,,2026-07-17,2026-07-17,,
0x055569e1d61fce5046a5811d40b768d9af254563,robinhood,惯犯庄家（MEOW案·项目方）,serial-actor,identity,serial-offenders,2026-07-17,meow分析 appendix whale_group「项目方」（人工白名单：记忆存档实锤工作室）,serial-offender,,,2026-07-17,2026-07-17,,
0x0616bc8db84e1223fcc043839da1b4b4eda261ed,robinhood,惯犯庄家（NOXA案·狙击集团）,serial-actor,identity,serial-offenders,2026-07-17,NOXA分析 appendix whale_group「狙击集团」,serial-offender,,,2026-07-17,2026-07-17,,
0x06ed108e7a5cd7212600ac2de3f00185a7c82e8b,robinhood,惯犯庄家（CASHCAT案·项目方（旧庄#1·工作室核心，标准迁移））,serial-actor,identity,serial-offenders,2026-07-17,CASHCAT分析 appendix whale_group「项目方（旧庄#1·工作室核心，标准迁移）」（人工白名单：记忆存档实锤工作室）,serial-offender,,,2026-07-17,2026-07-17,,
0x07cdaf0140c60a0c34681065abf49bb8d85b8cbe,robinhood,惯犯庄家（MEOW案·狙击集团#1）,serial-actor,identity,serial-offenders,2026-07-17,meow分析 appendix whale_group「狙击集团#1」,serial-offender,,,2026-07-17,2026-07-17,,
0x0862f2f645c64ad42b118798878c403d234841bb,robinhood,惯犯庄家（NOXA案·狙击集团）,serial-actor,identity,serial-offenders,2026-07-17,NOXA分析 appendix whale_group「狙击集团」,serial-offender,,,2026-07-17,2026-07-17,,
0x094ab30b7269e9deee21ad4e4898f60a433fbf56,robinhood,惯犯庄家（TRASH案·庄#4·e0e889母钱包簇(9址)·gas同源）,serial-actor,identity,serial-offenders,2026-07-17,TRASH分析 appendix whale_group「庄#4·e0e889母钱包簇(9址)·gas同源·基本离场」,serial-offender,,,2026-07-17,2026-07-17,,
0x0bc6c2f7cc7e682a0c0a011ee27ffdb4e973e2f6,robinhood,惯犯庄家（Pointless案·狙击集团#1·ea57系）,serial-actor,identity,serial-offenders,2026-07-17,Pointless分析 appendix whale_group「狙击集团#1·ea57系」,serial-offender,,,2026-07-17,2026-07-17,,
0x0f0a21bffcc5227a218a15aa0c29817442393eee,robinhood,惯犯庄家（TRASH案·庄#1·多地址协同·拍卖集团(18址)·已离场）,serial-actor,identity,serial-offenders,2026-07-17,TRASH分析 appendix whale_group「庄#1·多地址协同·拍卖集团(18址)·已离场」,serial-offender,,,2026-07-17,2026-07-17,,
0x1188ececb8d9d406a6552c65e42e87f35b2cb72b,robinhood,惯犯庄家（CASHCAT案·项目方（旧庄#1·工作室核心，标准迁移））,serial-actor,identity,serial-offenders,2026-07-17,CASHCAT分析 appendix whale_group「项目方（旧庄#1·工作室核心，标准迁移）」（人工白名单：记忆存档实锤工作室）,serial-offender,,,2026-07-17,2026-07-17,,
0x11db1321c3f926334eb155d5fe704f6b2ff6a2f9,robinhood,惯犯庄家（Pointless案·狙击集团#4·3807系）,serial-actor,identity,serial-offenders,2026-07-17,Pointless分析 appendix whale_group「狙击集团#4·3807系」,serial-offender,,,2026-07-17,2026-07-17,,
